iteration,prior mass,worst L,evidence
0,1.0,0.0,0.0
1,0.9801986733067553,4.1261253431076323e-196,8.17027558961508e-198
2,0.9607894391523232,4.767548972332705e-196,1.7423723024287828e-197
3,0.9417645335842487,4.885251907423265e-196,2.671786864578615e-197
4,0.9231163463866358,2.6815786888704405e-195,7.672445002097166e-197
5,0.9048374180359595,3.2120905683890855e-195,1.3543802337643866e-196
6,0.8869204367171575,3.685597724779878e-195,2.0147280895993903e-196
7,0.8693582353988059,3.695025562837132e-195,2.663655917709403e-196
8,0.8521437889662113,5.9581213416276425e-195,3.689313524452875e-196
9,0.835270211411272,1.4237666657893615e-194,6.091717249986295e-196
10,0.8187307530779818,1.9246792557563424e-194,9.275032485539293e-196
11,0.8025187979624785,4.445674583213431e-194,1.6482340165658304e-195
12,0.7866278610665535,1.1989547450669217e-193,3.553485436058663e-195
13,0.7710515858035663,1.2416756954610183e-193,5.487553678044854e-195
14,0.7557837414557255,1.7931580787709128e-193,8.225319521819607e-195
15,0.7408182206817179,2.9903935993630223e-193,1.270059927519227e-194
16,0.7261490370736909,3.3904595014120335e-193,1.767412656937153e-194
17,0.7117703227626097,5.496363595918393e-193,2.557719075892533e-194
18,0.697676326071031,6.42214074118976e-193,3.462855379484341e-194
19,0.6838614092123558,7.804587822084637e-193,4.5410526982676223e-194
20,0.6703200460356393,8.278149195538474e-193,5.662026945145923e-194
21,0.6570468198150567,1.0965476906771555e-192,7.117499501147453e-194
22,0.6440364210831414,1.2765631358634782e-192,8.778359041552259e-194
23,0.631283645506926,3.4000494839331954e-192,1.3114365843214982e-193
24,0.6187833918061408,5.2909679404878896e-192,1.9728210001096894e-193
25,0.6065306597126334,7.747671290297936e-192,2.9221224067954846e-193
26,0.5945205479701944,1.044894912183627e-191,4.1770528722386237e-193
27,0.5827482523739896,2.7913144616950274e-191,7.463070766742121e-193
28,0.5712090638488149,4.28901988665935e-191,1.2412251672780718e-192
29,0.559898366565402,6.624416796210026e-191,1.9904928978889424e-192
30,0.5488116360940264,1.9099666400125449e-190,4.108021432602748e-192
31,0.5379444375946745,2.0715580308814704e-190,6.3592246650543006e-192
32,0.5272924240430485,3.532698239706616e-190,1.0122259617370294e-191
33,0.5168513344916992,7.449221975047531e-190,1.7900058990305383e-191
34,0.5066169923655895,9.70033886598082e-190,2.7827717659669985e-191
35,0.4965853037914095,1.2997285304843058e-189,4.086618950846518e-191
36,0.4867522559599717,1.7056876466890767e-189,5.763829772385154e-191
37,0.4771139155210344,2.0961904132120906e-189,7.784209455122632e-191
38,0.46766642700990924,3.084668325592201e-189,1.0698446311789027e-190
39,0.4584060113052235,3.967671216763443e-189,1.4372674796463596e-190
40,0.44932896411722156,5.485003222346609e-189,1.935143810402189e-190
41,0.4404316545059993,5.510039087706462e-189,2.4253890477347995e-190
42,0.43171052342907973,1.2610502489205779e-188,3.5251674992766414e-190
43,0.4231620823177488,1.2715241411728469e-188,4.61212242352181e-190
44,0.4147829116815814,1.4549566654939547e-188,5.831255440362115e-190
