iteration,prior mass,evidence
0,1.0,0.0
1,0.9900498337491681,3.986731368234634e-198
2,0.9801986733067553,8.63383790639471e-198
3,0.9704455335485082,1.3350717508336452e-197
4,0.9607894391523232,1.9890387201168296e-197
5,0.951229424500714,2.644408259002591e-197
6,0.9417645335842487,3.330127084438078e-197
7,0.9323938199059483,4.3248951227906346e-197
8,0.9231163463866358,5.460462249389606e-197
9,0.9139311852712282,6.82059060754563e-197
10,0.9048374180359595,8.333149747316391e-197
11,0.8958341352965282,9.913867111309729e-197
12,0.8869204367171575,1.1605533043758446e-196
13,0.8780954309205613,1.3726078020166445e-196
14,0.8693582353988059,1.6395813114420643e-196
15,0.8607079764250578,1.9380773963058863e-196
16,0.8521437889662113,2.235740755636359e-196
17,0.8436648165963837,2.5747195306458784e-196
18,0.835270211411272,3.076978726164701e-196
19,0.8269591339433623,3.8275707695062704e-196
20,0.8187307530779818,4.698869027286106e-196
21,0.8105842459701871,5.567908645533836e-196
22,0.8025187979624785,6.534464907390021e-196
23,0.794533602503334,7.581492634296474e-196
24,0.7866278610665535,8.716355030501972e-196
25,0.7788007830714049,1.0350042403920286e-195
26,0.7710515858035663,1.258986425773278e-195
27,0.7633794943368531,1.5102516408042791e-195
28,0.7557837414557255,1.7847995710132945e-195
29,0.7482635675785653,2.0783337115039562e-195
30,0.7408182206817179,2.4372654647676686e-195
31,0.7334469562242892,3.0362717227295446e-195
32,0.7261490370736909,3.677644502196569e-195
33,0.7189237334319262,4.456656803165065e-195
34,0.7117703227626097,5.488322134219974e-195
35,0.7046880897187134,6.541414405859158e-195
36,0.697676326071031,7.590068728522326e-195
37,0.6907343306373547,9.378261841859708e-195
38,0.6838614092123558,1.1169001942832219e-194
39,0.6770568744981647,1.3118656492530173e-194
40,0.6703200460356393,1.5936398347308073e-194
41,0.6636502501363194,1.8838598191688697e-194
42,0.6570468198150567,2.4674688477152727e-194
43,0.6505090947233165,3.068965978463446e-194
44,0.6440364210831414,3.7646985113355695e-194
45,0.6376281516217733,4.502202618833483e-194
46,0.631283645506926,5.280019097827988e-194
47,0.6250022682827008,6.438171477314955e-194
48,0.6187833918061408,7.874942377551721e-194
49,0.6126263941844161,9.364831733203507e-194
50,0.6065306597126334,1.1211780250712175e-193
51,0.6004955788122659,1.3400381170480233e-193
52,0.5945205479701944,1.6407412784270492e-193
53,0.5886049696783552,1.990741002782208e-193
54,0.5827482523739896,2.4493604605515394e-193
55,0.5769498103804866,3.183064764890164e-193
56,0.5712090638488149,3.981442087436384e-193
57,0.5655254386995371,4.924561975447028e-193
58,0.559898366565402,6.151698458280691e-193
59,0.5543272847345071,8.062260131320289e-193
60,0.5488116360940264,1.001487041305082e-192
61,0.5433508690744998,1.2042242436489332e-192
62,0.5379444375946745,1.4691632630047054e-192
63,0.5325918010068972,1.800032586306655e-192
64,0.5272924240430485,2.157928958037434e-192
65,0.522045776761016,2.6281986748124336e-192
66,0.5168513344916992,3.18646462588768e-192
67,0.5117085777865424,3.864303662933456e-192
68,0.5066169923655895,4.698861780839116e-192
69,0.5015760690660556,5.626724953635487e-192
70,0.4965853037914095,6.699277661156328e-192
71,0.4916441974609651,7.790391865190296e-192
72,0.4867522559599717,8.938471108303444e-192
73,0.48190899009020244,1.1265330994693152e-191
74,0.4771139155210344,1.47954301656116e-191
75,0.4723665527410147,1.869637525303609e-191
76,0.46766642700990924,2.2576113326850212e-191
77,0.46301306831122807,2.7837015232841958e-191
78,0.4584060113052235,3.337733696340034e-191
79,0.45384479528235583,4.201465932085422e-191
80,0.44932896411722156,5.1052668164961206e-191
81,0.4448580662229411,6.665785440688598e-191
82,0.4404316545059993,8.875396561555573e-191
83,0.4360492863215356,1.1915157809859508e-190
84,0.43171052342907973,1.4967991763771426e-190
85,0.4274149319487267,1.906123447378114e-190
86,0.4231620823177488,2.3365800077426963e-190
87,0.418951549247639,2.91524923951283e-190
88,0.4147829116815814,3.53853414068264e-190
89,0.4106557527523455,4.559213139264513e-190
90,0.4065696597405991,5.777561869309126e-190
91,0.40252422403363597,6.985377006986534e-190
92,0.39851904108451414,8.351276743644115e-190
93,0.3945537103716011,9.785302244655246e-190
94,0.39062783535852114,1.1551560948984125e-189
95,0.38674102345450123,1.4237461266411836e-189
96,0.38289288597511206,1.72165348574726e-189
97,0.37908303810339883,2.0638638499065976e-189
98,0.37531109885139957,2.493326103530282e-189
99,0.3715766910220457,2.9534620488191762e-189
100,0.36787944117144233,3.471417892381668e-189
101,0.3642189795715233,4.064604814654547e-189
102,0.3605949401730783,5.1041167016172755e-189
103,0.3570069605691474,6.521591066001697e-189
104,0.35345468195878016,8.238142503357035e-189
105,0.3499377491111553,1.0181465285998855e-188
106,0.3464558103300574,1.2138878259313634e-188
107,0.34300851741870664,1.440160875844267e-188
108,0.3395955256449391,1.7103029551703597e-188
109,0.33621649370673334,1.977901192516947e-188
110,0.33287108369807955,2.2716884386224872e-188
111,0.32955896107518906,2.657812586599715e-188
112,0.32627979462303947,3.0422113246250145e-188
113,0.32303325642225295,3.652103572912766e-188
114,0.31981902181630395,4.2802114609260637e-188
115,0.3166367693790533,4.937765446642768e-188
116,0.3134861808826053,5.6420247827778004e-188
117,0.31036694126548503,6.655664767027508e-188
118,0.30727873860113125,7.671528701418485e-188
119,0.3042212640667041,9.02290722909648e-188
120,0.30119421191220214,1.0367881880353079e-187
121,0.2981972794298874,1.1729841012151997e-187
122,0.2952301669240142,1.3582639149537498e-187
123,0.2922925776808594,1.569161151907168e-187
124,0.2893842179390506,1.8118853830258614e-187
125,0.2865047968601901,2.0720880284099727e-187
126,0.2836540264997704,2.3612244552755456e-187
127,0.2808316217783798,2.66146991058105e-187
128,0.27803730045319414,2.975450901071378e-187
129,0.27527078308975234,3.2881849071345463e-187
130,0.2725317930340126,3.622638797540285e-187
131,0.2698200563846868,3.9767147143098264e-187
132,0.26713530196585034,4.356289311768457e-187
133,0.26447726129982396,4.775899154047229e-187
134,0.261845668580326,5.518251524749195e-187
135,0.2592402606458915,6.278528428958608e-187
136,0.2566607769535559,7.067788355396187e-187
137,0.25410695955280027,7.882394897967485e-187
138,0.2515785530597565,8.786559669966444e-187
139,0.24907530463166822,1.033761350252595e-186
140,0.2465969639416065,1.2121597997929401e-186
141,0.2441432831534371,1.4843903011698424e-186
142,0.24171401689703645,1.8774941230040275e-186
143,0.23930892224375455,2.3260124828070337e-186
144,0.23692775868212176,2.9869984341757704e-186
145,0.23457028809379765,3.700284988809632e-186
146,0.23223627472975883,4.923484354087763e-186
147,0.22992548518672384,6.225122876537077e-186
148,0.22763768838381274,7.635318230451907e-186
149,0.22537265553943872,9.154171662063387e-186
150,0.22313016014842982,1.0719844104155591e-185
151,0.2209099779593782,1.235786271886963e-185
152,0.21871188695221475,1.4719555638816838e-185
153,0.21653566731600707,1.7780329874146587e-185
154,0.21438110142697794,2.2646063552927532e-185
155,0.21224797382674304,2.7847504478083715e-185
156,0.21013607120076472,3.381485705820455e-185
157,0.20804518235702046,4.142666898833574e-185
158,0.20597509820488344,4.9479844230138715e-185
159,0.20392561173421342,6.035318899045867e-185
160,0.20189651799465538,7.467231145773734e-185
161,0.1998876140751445,9.154583898179058e-185
162,0.19789869908361465,1.0975837446108045e-184
163,0.19592957412690937,1.3253821295058207e-184
164,0.1939800422908919,1.570344992442604e-184
165,0.19204990862075413,1.883505879331924e-184
166,0.19013898010152055,2.3027967224302672e-184
167,0.1882470656387468,2.7937604815328924e-184
168,0.18637397603940997,3.322976355526815e-184
169,0.18451952399298926,3.8601049797929434e-184
170,0.18268352405273466,4.4120606193857333e-184
171,0.1808657926171221,5.363312673651455e-184
172,0.17906614791149322,6.306336852352254e-184
173,0.17728440996987782,7.293185342564343e-184
174,0.17552040061699686,8.472951993829666e-184
175,0.17377394345044514,9.934561811637795e-184
176,0.17204486382305054,1.2703368359841588e-183
177,0.17033298882540943,1.5451938479173991e-183
178,0.1686381472685955,1.8555896679174168e-183
179,0.1669601696670407,2.1907002921854714e-183
180,0.16529888822158653,2.5281684071388446e-183
181,0.16365413680270405,2.9969878284368664e-183
182,0.16202575093388075,3.570583855532999e-183
183,0.16041356777517274,4.200743002024733e-183
184,0.15881742610692068,4.865810810085798e-183
185,0.1572371663136276,5.535486012091814e-183
186,0.1556726303679973,6.2640005796765694e-183
187,0.1541236618151314,6.998403606160399e-183
188,0.1525901057568839,7.734451853652435e-183
189,0.15107180883637086,8.65766732992163e-183
190,0.14956861922263506,9.654687477843564e-183
191,0.14808038659546247,1.0906385078107852e-182
192,0.14660696213035015,1.215437564032988e-182
193,0.14514819848362373,1.3491531997742703e-182
194,0.14370394977770293,1.5056636467644867e-182
195,0.1422740715865136,1.776407649161681e-182
196,0.140858420921045,2.0447651462876597e-182
197,0.13945685621505094,2.3300453184401128e-182
198,0.13806923731089282,2.678252205403616e-182
199,0.13669542544552385,3.0702702421381934e-182
200,0.1353352832366127,3.485409489058669e-182
201,0.13398867466880499,4.031452563931557e-182
202,0.13265546508012172,4.633086073308255e-182
203,0.13133552114849312,5.434300458901828e-182
204,0.1300287108784259,6.481694827921158e-182
205,0.12873490358780423,7.853328886369368e-182
206,0.12745396989482075,9.447190766451133e-182
207,0.12618578170503877,1.1116843013816944e-181
208,0.12493021219858241,1.3190363088013162e-181
209,0.12368713581745483,1.5552472848867946e-181
210,0.1224564282529819,1.9575812452732724e-181
211,0.12123796643338168,2.3920408695382624e-181
212,0.12003162851145673,2.885354695507528e-181
213,0.11883729385240965,3.569124034158581e-181
214,0.11765484302177918,4.574180608993665e-181
215,0.11648415777349697,6.068536423523984e-181
216,0.11532512103806251,8.477774283614378e-181
217,0.1141776169108365,1.1394590163757056e-180
218,0.11304153064044985,1.5466837993470622e-180
219,0.11191674861732888,1.9654023590649196e-180
220,0.11080315836233387,2.403900329033211e-180
221,0.10970064851551141,2.9085374960589108e-180
222,0.10860910882495796,3.550052039901181e-180
223,0.10752843013579495,4.4447907848438015e-180
224,0.1064585043792528,5.752849250022647e-180
225,0.10539922456186433,7.287906714593785e-180
226,0.10435048475476504,9.135268647126e-180
227,0.1033121800831002,1.1078441064205138e-179
228,0.10228420671553748,1.3201329309967661e-179
229,0.1012664618538834,1.5696680075984292e-179
230,0.10025884372280375,1.8338164048166895e-179
231,0.09926125155964566,2.1352529344180845e-179
232,0.09827358560436154,2.4868823493550576e-179
233,0.09729574708953276,2.8594033586627294e-179
234,0.09632763823049303,3.471057303554972e-179
235,0.09536916221554961,4.273919886661141e-179
236,0.09442022319630235,5.093496668634001e-179
237,0.09348072627805847,6.0311103256618966e-179
238,0.09255057751034329,6.972466251162143e-179
239,0.09162968387750484,8.345825036613235e-179
240,0.09071795328941251,9.768967788917308e-179
241,0.08981529457224763,1.162691252275268e-178
242,0.08892161745938634,1.351180325368151e-178
243,0.08803683258237255,1.5655948631057924e-178
244,0.0871608514619813,1.9180687986436184e-178
245,0.0862935864993705,2.3674028987912347e-178
246,0.08543495096732123,3.046293593437303e-178
247,0.08458485900156469,3.9285214165251705e-178
