n_iterations,n_points,stoch_prior,trapezoid
20000,100,True,False
iteration,prior mass,worst L,evidence
0,1.0,0.0,0.0
1,0.9799404267229728,6.763385226132345e-196,1.3567062154436518e-197
2,0.9790250509350047,7.992513434744257e-196,1.4298677482753965e-197
3,0.9775408455512384,1.2188287529381178e-195,1.6107669679753833e-197
4,0.9706462346209295,1.3431321468227936e-195,2.5368043260087612e-197
5,0.9706100445314568,1.4236989235303632e-195,2.5419567051512282e-197
6,0.9632637880340056,2.0789603628834778e-195,4.069214312528862e-197
7,0.9529736298816831,2.3767639937234765e-195,6.514942051144878e-197
8,0.9504785150737383,4.013447685404432e-195,7.516343326221334e-197
9,0.9411034265876088,4.366589198768059e-195,1.1610059338324097e-196
10,0.9361787280975629,5.53473958105644e-195,1.433575170408672e-196
11,0.9167057897687638,6.670465132039484e-195,2.732510731814764e-196
12,0.9156037768425944,9.351686061606959e-195,2.8355675210284552e-196
13,0.9100480898912977,1.1698849128569785e-194,3.4855189555162957e-196
14,0.9100156300045141,1.4185477430435885e-194,3.4901235454299247e-196
15,0.9016071381307519,1.8780226242468072e-194,5.069257342902017e-196
16,0.8913812356927513,1.9432912341022837e-194,7.056447999757189e-196
17,0.8419337449345693,2.2531761576885297e-194,1.8197838723143147e-195
18,0.8396930868611662,2.928484622437494e-194,1.8854011994353296e-195
19,0.8077957634370545,3.223687685039014e-194,2.913671286515482e-195
20,0.8062383902620036,5.35878121799575e-194,2.997127507714213e-195
21,0.7972950422863455,5.753532170688036e-194,3.511685910630279e-195
22,0.7853548285522721,7.281881887853039e-194,4.3811581719027105e-195
23,0.7776370217723356,9.203442843196348e-194,5.0914621076424985e-195
24,0.7728531627777148,9.731243428778776e-194,5.556991071698583e-195
25,0.768109404606463,9.734136634292549e-194,6.018754973688643e-195
26,0.7602390941863836,1.0453704470642195e-193,6.8414939659259085e-195
27,0.7602059500757357,2.0966354745661989e-193,6.848443077741646e-195
28,0.7426803400013049,4.505688881541639e-193,1.4744937723201328e-194
29,0.7399814520204905,5.275313508746792e-193,1.616868574557979e-194
30,0.7372587084980475,5.46775038741973e-193,1.765741394054799e-194
31,0.7321227132464373,6.080383116033024e-193,2.0780295821739654e-194
32,0.7235071362342481,6.346986044607335e-193,2.6248590528000103e-194
33,0.7215126770307451,9.297618507292114e-193,2.810296260825301e-194
34,0.7182382120128448,9.828707483981754e-193,3.1321338491000315e-194
35,0.7062241794442085,1.9135030017204106e-192,5.431022587385267e-194
36,0.6959992816996006,2.788047177385547e-192,8.281772316976253e-194
37,0.6958817624535728,4.108443171108738e-192,8.330054431357915e-194
38,0.6937604138828437,4.3659778619530236e-192,9.256230521086807e-194
39,0.6915653944674213,5.257787459966701e-192,1.0410325076765961e-193
40,0.6859884847383986,5.927493587221913e-192,1.3716034742295712e-193
41,0.648035465342075,5.990052434681206e-192,3.645009236614081e-193
42,0.6426529788802722,6.168048625635758e-192,3.977003618846342e-193
43,0.6347259987139575,6.8275509078096845e-192,4.518222225153452e-193
44,0.6254780809782698,6.897668066772436e-192,5.156112893649365e-193
45,0.6200982151700724,6.959851846194744e-192,5.530543583423998e-193
46,0.6075505611450039,8.067686832671783e-192,6.542849015013653e-193
47,0.6074413693127337,8.281647760259976e-192,6.551891897945246e-193
48,0.6067517806508829,8.663007835104551e-192,6.611631017751379e-193
49,0.6056812772473279,8.685435521847941e-192,6.704608900626334e-193
50,0.598574874034479,1.003868704770107e-191,7.417998479512014e-193
51,0.5937474956762756,1.9766016117765308e-191,8.372178863860002e-193
52,0.5815622332586964,2.2318322215929275e-191,1.1091724993071866e-192
53,0.5713996218174728,2.7766562789105926e-191,1.3913532879912064e-192
54,0.5694323422869773,3.163975575017523e-191,1.453597531828406e-192
55,0.5687594456974175,3.199541610256232e-191,1.4751271382053641e-192
56,0.5376448813871494,3.8578897501176416e-191,2.675492725524961e-192
57,0.5318024236069061,5.5470061574523994e-191,2.9995742183416126e-192
58,0.524906670560887,7.586952510684128e-191,3.522751727197134e-192
59,0.5005315619389529,8.33747820324728e-191,5.555021095568742e-192
60,0.4988823741985705,1.1655450789943505e-190,5.7472413610827896e-192
61,0.49493867360598154,2.912666524713801e-190,6.895909831035578e-192
62,0.4920569374307754,2.9494325224533944e-190,7.745858470663925e-192
63,0.48203987489648664,3.48820334909747e-190,1.1240013578686404e-191
64,0.4766944924270942,5.248361366869176e-190,1.40454634630363e-191
65,0.4698391779189305,5.656013220132759e-190,1.7922838411670498e-191
66,0.467057280582999,5.889102690951564e-190,1.9561126320369006e-191
67,0.4664354859194256,7.249139807004078e-190,2.001187396511829e-191
68,0.4635645307114607,9.805659310664411e-190,2.2827034831666415e-191
69,0.4571911993218766,1.1068886344131448e-189,2.988160291014562e-191
70,0.4558184228857164,1.2524472936792861e-189,3.1600933042441135e-191
71,0.4504463221420101,1.77083196287269e-189,4.111402074716841e-191
72,0.4476700647564658,2.1275914423958667e-189,4.702076220254072e-191
73,0.44247168553576804,2.389308273375836e-189,5.944129268269893e-191
74,0.44152291517416725,4.991107708633787e-189,6.41767077482079e-191
75,0.43833663053078664,7.228480743034495e-189,8.720870493471118e-191
