n_iterations,n_points,stoch_prior,trapezoid
20000,20,False,True
iteration,prior mass,worst L,evidence
0,1.048770575499286,0.0,0.0
1,0.951229424500714,4.5956594942285175e-196,2.2413295833228235e-197
2,0.951229424500714,1.276933299766638e-195,5.2033044782145316e-197
3,0.9048374180359595,1.6872808997622251e-195,1.2840059996058168e-196
4,0.8607079764250578,1.804501945878691e-195,2.0609042219547931e-196
5,0.8187307530779818,2.1609293487790983e-195,2.945882511924958e-196
6,0.7788007830714049,4.539216609855986e-195,4.714191817770278e-196
7,0.7408182206817179,4.887998892699874e-195,6.525505632985083e-196
8,0.7046880897187134,1.4035046471203552e-194,1.1472731419448765e-195
9,0.6703200460356393,1.7105510400699296e-194,1.7208203762386066e-195
10,0.6376281516217733,1.8422252872311318e-194,2.3083924789445923e-195
11,0.6065306597126334,4.359651084852219e-194,3.631074460042635e-195
12,0.5769498103804866,2.3553825601241384e-193,1.0428593540975649e-194
13,0.5488116360940264,2.508863429867695e-193,1.731592964598146e-194
14,0.522045776761016,3.0945563442931806e-193,2.5396796044292806e-194
15,0.4965853037914095,1.6364266694138377e-192,6.604499959535018e-194
16,0.4723665527410147,1.77510460343826e-192,1.0798747264399674e-193
17,0.44932896411722156,3.6476569880186996e-192,1.8997151949687473e-193
18,0.4274149319487267,2.0530773984304104e-191,6.289123264381252e-193
19,0.4065696597405991,4.7582406945964816e-191,1.596593559465711e-192
20,0.38674102345450123,1.4166555436165263e-190,4.3371291904522614e-192
21,0.36787944117144233,5.008450680676013e-190,1.3553498412254102e-191
22,0.3499377491111553,2.0985273922765134e-189,5.0286496970484096e-191
23,0.33287108369807955,2.300063672688641e-189,8.858368384385842e-191
24,0.3166367693790533,2.611723649009108e-188,5.022398596928855e-190
25,0.30119421191220214,4.6727995714018016e-188,1.2062432010510593e-189
26,0.2865047968601901,2.433788370655006e-187,4.69415628808007e-189
27,0.2725317930340126,5.018308009818135e-187,1.1535248311489631e-188
28,0.2592402606458915,4.558702501059074e-186,7.06498334355353e-188
29,0.2465969639416065,4.861084907453037e-186,1.3061124905566738e-187
30,0.23457028809379765,5.2086440940120864e-186,1.9172636354700243e-187
31,0.22313016014842982,5.941058268478343e-186,2.5803544842093087e-187
32,0.21224797382674304,3.4426920036840317e-184,3.913079951015302e-186
33,0.20189651799465538,3.7305776354195515e-184,7.680602467825703e-186
34,0.19204990862075413,8.114755651825874e-184,1.5476040026760577e-185
35,0.18268352405273466,1.000438833383195e-183,2.4618032663728493e-185
36,0.17377394345044514,1.3447849113913991e-183,3.630733064160964e-185
37,0.16529888822158653,2.6815869043412388e-183,5.847973314665938e-185
38,0.1572371663136276,4.642569156406843e-183,9.49941639849168e-185
39,0.14956861922263506,4.386097371195267e-182,4.231421162226196e-184
40,0.1422740715865136,1.9801008624964247e-181,1.8323141593288334e-183
41,0.1353352832366127,5.293973712898267e-181,5.416114133312872e-183
42,0.12873490358780423,7.657064050076588e-181,1.0346825008378327e-182
43,0.1224564282529819,5.3685643564563205e-180,4.3231283667726557e-182
44,0.11648415777349697,5.575561788663313e-180,7.57180468253655e-182
45,0.11080315836233387,1.0384402917646718e-179,1.3327325321776397e-181
46,0.10539922456186433,1.0888216615511144e-179,1.9067764414641862e-181
47,0.10025884372280375,1.2774646843719124e-179,2.547428962937463e-181
48,0.09536916221554961,2.627279958603949e-178,1.5080724074379934e-180
49,0.09071795328941251,4.376014853790775e-178,3.493815114473127e-180
50,0.0862935864993705,1.0079606012043198e-175,4.38577723855515e-178
51,0.0820849986238988,1.3726825685819242e-175,1.0021957299796907e-177
52,0.07808166600115317,1.8035688144425852e-175,1.7066174423392717e-177
53,0.07427357821433388,3.5710047151961906e-175,3.0333265667076356e-177
54,0.0706512130604296,8.928227589369354e-175,6.188591425390183e-177
55,0.06720551273974976,6.61129392828785e-174,2.8413619069517828e-176
56,0.06392786120670757,9.483006799990374e-173,3.3165410369503843e-175
57,0.06081006262521797,1.5123921224368526e-172,7.916890274173246e-175
58,0.057844320874838456,3.1087075395328753e-172,1.6911690836049118e-174
59,0.05502322005640723,1.1219653121252887e-171,4.779162585622269e-174
60,0.05233970594843238,5.192200701377851e-171,1.8372737820509903e-173
61,0.049787068367863944,9.470031292037425e-171,4.195681642368638e-173
62,0.04735892439114093,1.8952093524928893e-170,8.685305595050058e-173
63,0.0450492023935578,2.6744496469599645e-170,1.4711907118675694e-172
64,0.04285212686704019,2.699764337258231e-170,2.0498849836284098e-172
65,0.04076220397836621,3.390227685155498e-170,2.7411386841963244e-172
