n_iterations,n_points,stoch_prior,trapezoid
100000,500,False,False
iteration,prior mass,worst L,evidence
0,1.0,0.0,0.0
1,0.9980019986673331,4.006698247781859e-196,8.005388438662372e-199
2,0.9960079893439915,4.0369589489260505e-196,1.60551222207682e-198
3,0.9940179640539353,4.081878248571049e-196,2.4178163166354926e-198
4,0.9920319148370607,4.2286475808494685e-196,3.2576465382739767e-198
5,0.9900498337491681,4.343484812223051e-196,4.118560448459561e-198
6,0.9880717128619305,4.39882235816729e-196,4.988700687053403e-198
7,0.9860975442628619,4.536510962043304e-196,5.8842844361130524e-198
8,0.9841273200552851,4.578232307846442e-196,6.786298848195957e-198
9,0.9821610323583008,4.717318904027368e-196,7.713859460570037e-198
10,0.9801986733067553,4.720521461916093e-196,8.640195262450628e-198
11,0.97824023505121,4.836267826422997e-196,9.587348454983552e-198
12,0.9762857097579093,4.862054761953202e-196,1.0537649355948645e-197
13,0.9743350896087494,4.952069325825493e-196,1.1503609976647843e-197
14,0.9723883668012469,5.314420734418337e-196,1.253818038188349e-197
15,0.9704455335485082,5.731926318340064e-196,1.3651798087235406e-197
16,0.9685065820791976,5.920525291244601e-196,1.479975920849031e-197
17,0.9665715046375066,5.960347351764643e-196,1.5953132578994537e-197
18,0.9646402934831231,5.974043917075276e-196,1.7106846603937833e-197
19,0.9627129408911995,6.192685765299987e-196,1.830039550000974e-197
20,0.9607894391523232,6.216079733732493e-196,1.9496059517692583e-197
21,0.9588697805724845,6.46646124592622e-196,2.0737399298886234e-197
22,0.9569539574730467,6.755473717543476e-196,2.203162855845773e-197
23,0.9550419621907147,6.772582603806772e-196,2.3326543157225953e-197
24,0.9531337870775047,6.855319398233854e-196,2.463465814410748e-197
25,0.951229424500714,7.244867706215169e-196,2.601434363745906e-197
26,0.9493288668428895,8.048235863849074e-196,2.754395726776066e-197
27,0.9474321065017983,8.431563650758321e-196,2.914322282237512e-197
28,0.9455391358903963,8.828470765266534e-196,3.0814426392602276e-197
29,0.9436499474367985,8.843714924652435e-196,3.248517080485863e-197
30,0.9417645335842487,9.426221635248439e-196,3.426240368968884e-197
31,0.9398828867910889,9.744543108787236e-196,3.609598251883456e-197
32,0.9380049995307295,1.0435131770715844e-195,3.8055582620074475e-197
33,0.9361308642916188,1.0615712660777576e-195,4.0045110738658077e-197
34,0.9342604735772135,1.0953899973801042e-195,4.2093918018410285e-197
35,0.9323938199059483,1.0995616567324698e-195,4.4146418821732464e-197
36,0.9305308958112057,1.172593671344554e-195,4.633087182542284e-197
37,0.9286716938412872,1.2192809883547784e-195,4.8597761440856235e-197
38,0.9268162065593822,1.2240047080006324e-195,5.0868886609543235e-197
39,0.9249644265435393,1.2267695729643062e-195,5.3140593988802744e-197
40,0.9231163463866358,1.2442832104060138e-195,5.544012909952231e-197
41,0.9212719586963487,1.363080345785071e-195,5.795417771016051e-197
42,0.9194312560951247,1.3894863823518682e-195,6.051180890852097e-197
43,0.9175942312201509,1.4807887864639491e-195,6.32320547438374e-197
44,0.9157608767233256,1.5897641452142153e-195,6.614665598835754e-197
45,0.9139311852712282,1.6483092045233125e-195,6.916255325028737e-197
46,0.9121051495450904,1.6632921215583256e-195,7.219978408725644e-197
47,0.910282762240767,1.7311427074402497e-195,7.535459657926755e-197
48,0.9084640160687062,1.73505084264728e-195,7.851021365766315e-197
49,0.9066489037539209,1.755712232684126e-195,8.169702855242723e-197
50,0.9048374180359595,1.8332953513932927e-195,8.501801689828123e-197
51,0.9030295516688768,1.8978271672364972e-195,8.844903480446401e-197
52,0.9012252974212048,1.918591955477629e-195,9.191066248968374e-197
