max_level,L_per_level,levels_finished,lam,beta,quantile,evidence
100,100000,218470,10,0,0.36787944117144233,6.233493657312266e-38
100,100000,218723,10,0,0.36787944117144233,7.532488597737664e-38
100,100000,217601,10,0,0.36787944117144233,7.538517883218409e-38
100,100000,212040,10,0,0.36787944117144233,1.2011099236241128e-38
100,100000,213408,10,0,0.36787944117144233,2.0564336806936037e-38
100,100000,218468,10,0,0.36787944117144233,4.1233938096151714e-38
100,100000,215909,10,0,0.36787944117144233,4.783659155018404e-38
100,100000,218393,10,0,0.36787944117144233,7.59059044291285e-38
100,100000,210960,10,0,0.36787944117144233,2.609545301112671e-38
100,100000,207146,10,0,0.36787944117144233,3.6954116712697723e-38
100,100000,211991,10,0,0.36787944117144233,2.695801904883986e-38
100,100000,218328,10,0,0.36787944117144233,5.426706690992446e-38
100,100000,207038,10,0,0.36787944117144233,5.127025389402475e-38
100,100000,209053,10,0,0.36787944117144233,2.5384148309370864e-38
100,100000,218074,10,0,0.36787944117144233,3.4537327268842297e-38
100,100000,213465,10,0,0.36787944117144233,2.58002617344948e-38
100,100000,173841,10,0.5,0.36787944117144233,2.1319154354102179e-41
100,100000,172348,10,0.5,0.36787944117144233,6.426422175413199e-41
100,100000,185127,10,0.5,0.36787944117144233,4.1849317836083795e-40
100,100000,170285,10,0.5,0.36787944117144233,7.752977529063971e-42
100,100000,183737,10,0.5,0.36787944117144233,1.7175911231423446e-40
100,100000,170782,10,0.5,0.36787944117144233,5.314163832104531e-42
100,100000,172572,10,0.5,0.36787944117144233,1.4474276685843364e-41
100,100000,174853,10,0.5,0.36787944117144233,4.721551370670935e-41
100,100000,166836,10,0.5,0.36787944117144233,3.442452368457625e-41
100,100000,180704,10,0.5,0.36787944117144233,5.277115577735514e-41
100,100000,178071,10,0.5,0.36787944117144233,5.836194297548034e-41
100,100000,180155,10,0.5,0.36787944117144233,9.960557897753018e-41
100,100000,169239,10,0.5,0.36787944117144233,1.48967954585376e-41
100,100000,167071,10,0.5,0.36787944117144233,2.5718155243299096e-42
100,100000,178579,10,0.5,0.36787944117144233,1.3162143363395181e-41
100,100000,177544,10,0.5,0.36787944117144233,1.90324294053396e-40
100,100000,149832,10,1,0.36787944117144233,7.699234585015672e-41
100,100000,142350,10,1,0.36787944117144233,4.7526338566157204e-42
100,100000,141983,10,1,0.36787944117144233,6.009098551538421e-41
100,100000,142703,10,1,0.36787944117144233,4.875722796335458e-42
100,100000,143304,10,1,0.36787944117144233,1.9689257275142257e-41
100,100000,143291,10,1,0.36787944117144233,5.720502945634138e-42
100,100000,137596,10,1,0.36787944117144233,1.2250718303163872e-41
100,100000,139375,10,1,0.36787944117144233,2.654919503207345e-42
100,100000,139881,10,1,0.36787944117144233,1.0366628118715832e-41
100,100000,140394,10,1,0.36787944117144233,4.524409754457953e-42
100,100000,143387,10,1,0.36787944117144233,1.3164739611437766e-41
100,100000,137810,10,1,0.36787944117144233,3.8305152921717305e-42
100,100000,136546,10,1,0.36787944117144233,4.088487636138148e-42
100,100000,140858,10,1,0.36787944117144233,1.1058394566071508e-41
100,100000,135983,10,1,0.36787944117144233,3.059740332835314e-42
100,100000,140369,10,1,0.36787944117144233,8.081144863181115e-42
100,100000,111026,10,2,0.36787944117144233,2.987752978562694e-41
100,100000,111835,10,2,0.36787944117144233,4.8681805911696864e-42
100,100000,112617,10,2,0.36787944117144233,4.2006252009729593e-41
100,100000,110656,10,2,0.36787944117144233,5.5363557288613526e-42
100,100000,112004,10,2,0.36787944117144233,1.9855309147969125e-41
100,100000,110791,10,2,0.36787944117144233,2.360239995008195e-41
100,100000,110841,10,2,0.36787944117144233,6.523017151007975e-42
100,100000,112490,10,2,0.36787944117144233,4.612552968247328e-41
100,100000,110833,10,2,0.36787944117144233,4.195593778076422e-42
100,100000,112040,10,2,0.36787944117144233,2.3668597892699954e-41
100,100000,113097,10,2,0.36787944117144233,7.295398893988647e-42
100,100000,113011,10,2,0.36787944117144233,8.150066981875526e-42
100,100000,112439,10,2,0.36787944117144233,1.6387171962212916e-41
100,100000,111156,10,2,0.36787944117144233,2.92771289982483e-42
100,100000,112107,10,2,0.36787944117144233,1.8034111236005288e-41
