max_level,L_per_level,levels_finished,lam,beta,quantile,evidence
100,100000,100128,1,10,0.36787944117144233,1.6058968794398612e-41
100,100000,100071,1,10,0.36787944117144233,1.6360928064236437e-41
100,100000,100095,1,10,0.36787944117144233,6.303055226537461e-42
100,100000,100122,1,10,0.36787944117144233,4.5517747354915904e-42
100,100000,100078,1,10,0.36787944117144233,9.993804210885662e-42
100,100000,100107,1,10,0.36787944117144233,4.162493275540955e-42
100,100000,100075,1,10,0.36787944117144233,7.054753272728985e-42
100,100000,100116,1,10,0.36787944117144233,7.743849504029909e-41
100,100000,100118,1,10,0.36787944117144233,4.716286445168737e-42
100,100000,100101,1,10,0.36787944117144233,6.660245492899149e-42
100,100000,100108,1,10,0.36787944117144233,2.0726020525728837e-41
100,100000,100091,1,10,0.36787944117144233,3.6229095401569894e-42
100,100000,100112,1,10,0.36787944117144233,6.23362593265338e-42
100,100000,100093,1,10,0.36787944117144233,1.1588855620603503e-41
100,100000,100098,1,10,0.36787944117144233,2.300557277530524e-41
100,100000,100103,1,10,0.36787944117144233,2.3948511830406417e-41
100,100000,100128,2,10,0.36787944117144233,1.6227928312983698e-41
100,100000,100071,2,10,0.36787944117144233,1.6513336115692564e-41
100,100000,100095,2,10,0.36787944117144233,6.300620748344531e-42
100,100000,100122,2,10,0.36787944117144233,4.5872133067649854e-42
100,100000,100078,2,10,0.36787944117144233,1.0043112109793151e-41
100,100000,100107,2,10,0.36787944117144233,4.1564515780499e-42
100,100000,100075,2,10,0.36787944117144233,7.008695813150996e-42
100,100000,100116,2,10,0.36787944117144233,7.723109969168855e-41
100,100000,100118,2,10,0.36787944117144233,4.727157858035168e-42
100,100000,100101,2,10,0.36787944117144233,6.621567387791957e-42
100,100000,100108,2,10,0.36787944117144233,2.0386419764216064e-41
100,100000,100091,2,10,0.36787944117144233,3.67783238673226e-42
100,100000,100112,2,10,0.36787944117144233,6.336734480918507e-42
100,100000,100093,2,10,0.36787944117144233,1.1549702338760387e-41
100,100000,100098,2,10,0.36787944117144233,2.273276771925509e-41
100,100000,100103,2,10,0.36787944117144233,2.394021916568258e-41
100,100000,100128,5,10,0.36787944117144233,1.6031145604767417e-41
100,100000,100071,5,10,0.36787944117144233,1.6410727923228512e-41
100,100000,100095,5,10,0.36787944117144233,6.21413570944738e-42
100,100000,100122,5,10,0.36787944117144233,4.5296799200566285e-42
100,100000,100078,5,10,0.36787944117144233,9.81510849250977e-42
100,100000,100107,5,10,0.36787944117144233,4.097856838888579e-42
100,100000,100075,5,10,0.36787944117144233,6.901952629190141e-42
100,100000,100116,5,10,0.36787944117144233,7.722348715437589e-41
100,100000,100118,5,10,0.36787944117144233,4.6392483592524504e-42
100,100000,100101,5,10,0.36787944117144233,6.514106014148882e-42
100,100000,100108,5,10,0.36787944117144233,2.0046312305058884e-41
100,100000,100091,5,10,0.36787944117144233,3.622536860036738e-42
100,100000,100112,5,10,0.36787944117144233,6.197628415405228e-42
100,100000,100093,5,10,0.36787944117144233,1.1433147359622115e-41
100,100000,100098,5,10,0.36787944117144233,2.2668278702045583e-41
100,100000,100103,5,10,0.36787944117144233,2.3673427957802275e-41
100,100000,100128,10,10,0.36787944117144233,1.5459819164322897e-41
100,100000,100071,10,10,0.36787944117144233,1.5797379237461197e-41
100,100000,100095,10,10,0.36787944117144233,6.004133577912215e-42
100,100000,100122,10,10,0.36787944117144233,4.355483203133705e-42
100,100000,100078,10,10,0.36787944117144233,9.51004353202466e-42
100,100000,100107,10,10,0.36787944117144233,3.9626638983169735e-42
100,100000,100075,10,10,0.36787944117144233,6.69704712029267e-42
100,100000,100116,10,10,0.36787944117144233,7.444853752734741e-41
100,100000,100118,10,10,0.36787944117144233,4.455539850561777e-42
100,100000,100101,10,10,0.36787944117144233,6.311178382411396e-42
100,100000,100108,10,10,0.36787944117144233,1.945839464837202e-41
100,100000,100091,10,10,0.36787944117144233,3.4911149336931174e-42
100,100000,100112,10,10,0.36787944117144233,5.978348251822901e-42
100,100000,100093,10,10,0.36787944117144233,1.0999333364818171e-41
100,100000,100098,10,10,0.36787944117144233,2.1693865165086073e-41
100,100000,100103,10,10,0.36787944117144233,2.287255049344573e-41
100,100000,100288,25,10,0.36787944117144233,2.6767465993807964e-41
100,100000,100301,25,10,0.36787944117144233,2.0532728465729342e-41
100,100000,100266,25,10,0.36787944117144233,1.3480664887710892e-41
100,100000,100282,25,10,0.36787944117144233,1.030314693505963e-41
100,100000,100381,25,10,0.36787944117144233,1.490777916418787e-41
100,100000,100339,25,10,0.36787944117144233,3.816149983623884e-41
100,100000,100387,25,10,0.36787944117144233,1.618433438218562e-41
100,100000,100297,25,10,0.36787944117144233,5.609532271669176e-42
100,100000,100294,25,10,0.36787944117144233,4.475836708257773e-42
100,100000,100239,25,10,0.36787944117144233,7.308039237377812e-42
100,100000,100292,25,10,0.36787944117144233,1.4636026658004774e-41
100,100000,100318,25,10,0.36787944117144233,5.258905727621892e-42
100,100000,100271,25,10,0.36787944117144233,2.918680531883431e-42
100,100000,100291,25,10,0.36787944117144233,4.859781036653329e-42
100,100000,100254,25,10,0.36787944117144233,4.0271919725188036e-42
100,100000,100372,25,10,0.36787944117144233,1.2811066825903748e-41
100,100000,101770,50,10,0.36787944117144233,2.0489837889969536e-42
100,100000,101723,50,10,0.36787944117144233,1.5726284644928799e-41
100,100000,101646,50,10,0.36787944117144233,1.6474801914923365e-41
