max_level,L_per_level,levels_finished,lam,beta,quantile,evidence
300,100000,313009,10,10,0.05,8.088137446675652e-44
300,100000,315441,10,10,0.05,1.4987788643340452e-42
300,100000,315062,10,10,0.05,3.3733824641157605e-43
300,100000,313184,10,10,0.05,1.363594892576693e-43
300,100000,315118,10,10,0.05,8.928343096828643e-44
300,100000,311668,10,10,0.05,9.298257003554736e-43
300,100000,314431,10,10,0.05,1.4101208817198543e-42
300,100000,312544,10,10,0.05,1.388479562747894e-43
300,100000,313014,10,10,0.05,2.571493148488806e-44
300,100000,317932,10,10,0.05,2.1497148880858726e-43
300,100000,313570,10,10,0.05,5.828817850841932e-42
300,100000,319752,10,10,0.05,4.602467412456964e-43
300,100000,313814,10,10,0.05,4.536940691527015e-43
300,100000,311460,10,10,0.05,1.3618137699668395e-43
300,100000,315407,10,10,0.05,9.087262724190088e-43
300,100000,321115,10,10,0.05,3.178431056560402e-44
300,100000,303845,10,10,0.1,5.848052089925306e-43
300,100000,304538,10,10,0.1,5.31694396841875e-42
300,100000,304555,10,10,0.1,2.0195279511442574e-42
300,100000,304901,10,10,0.1,8.541467265420978e-44
300,100000,304713,10,10,0.1,1.6491565110421966e-42
300,100000,304629,10,10,0.1,1.4142362916427409e-42
300,100000,304144,10,10,0.1,3.603068891554902e-43
300,100000,304163,10,10,0.1,2.1722233799887366e-42
300,100000,304333,10,10,0.1,3.4451525336018484e-43
300,100000,304616,10,10,0.1,3.2897518659012962e-43
300,100000,304503,10,10,0.1,3.857006901605724e-43
300,100000,304323,10,10,0.1,8.698012952217757e-43
300,100000,304510,10,10,0.1,1.2971196444699527e-41
300,100000,304450,10,10,0.1,2.083544634213733e-43
300,100000,305012,10,10,0.1,2.4321039181575272e-42
300,100000,304352,10,10,0.1,1.6267692004302159e-43
300,100000,301356,10,10,0.2,4.282766432969403e-42
300,100000,301406,10,10,0.2,6.370280664128144e-42
300,100000,301494,10,10,0.2,7.394600459565796e-41
300,100000,301128,10,10,0.2,1.0389008208118229e-41
300,100000,301344,10,10,0.2,7.477043072967508e-42
300,100000,301355,10,10,0.2,3.3768525296201745e-42
300,100000,301430,10,10,0.2,2.3492575524931545e-41
300,100000,301308,10,10,0.2,1.1140838104849e-41
300,100000,301361,10,10,0.2,8.857183523492062e-42
300,100000,301288,10,10,0.2,5.913899223353644e-41
300,100000,301293,10,10,0.2,3.6484952943624197e-41
300,100000,301415,10,10,0.2,4.683877363583414e-42
300,100000,301258,10,10,0.2,1.1830621238405415e-41
300,100000,301428,10,10,0.2,9.279884246482031e-43
300,100000,301264,10,10,0.2,1.5204153065223645e-41
300,100000,301328,10,10,0.2,6.627308977636668e-42
300,100000,300361,10,10,0.36787944117144233,1.4072931422915174e-38
300,100000,300246,10,10,0.36787944117144233,3.520820086853534e-38
300,100000,300311,10,10,0.36787944117144233,9.662245446697844e-41
300,100000,300315,10,10,0.36787944117144233,1.06282603657469e-40
300,100000,300264,10,10,0.36787944117144233,2.1286811152399357e-40
300,100000,300327,10,10,0.36787944117144233,4.748657798519976e-41
300,100000,300251,10,10,0.36787944117144233,6.631012348568679e-41
300,100000,300338,10,10,0.36787944117144233,5.95144373530872e-39
300,100000,300312,10,10,0.36787944117144233,3.75068484247506e-41
300,100000,300341,10,10,0.36787944117144233,3.631251456601713e-41
300,100000,300312,10,10,0.36787944117144233,3.6256026383511513e-40
300,100000,300289,10,10,0.36787944117144233,7.764755983149734e-39
300,100000,300320,10,10,0.36787944117144233,5.5938889474058e-41
300,100000,300274,10,10,0.36787944117144233,6.105355276492375e-40
300,100000,300293,10,10,0.36787944117144233,4.723570813399664e-38
300,100000,300331,10,10,0.36787944117144233,5.038974082756748e-38
300,100000,300210,10,10,0.4,3.6021239394916863e-40
300,100000,300225,10,10,0.4,4.11722749057402e-40
300,100000,300267,10,10,0.4,6.6267360549661024e-40
300,100000,300232,10,10,0.4,2.2330336098606553e-40
300,100000,300261,10,10,0.4,8.72338045735455e-41
300,100000,300227,10,10,0.4,2.8705068883049927e-40
300,100000,300251,10,10,0.4,1.0908055238828572e-40
300,100000,300228,10,10,0.4,3.5513285214070135e-41
300,100000,300207,10,10,0.4,2.834950101467734e-40
300,100000,300206,10,10,0.4,1.2548970741727164e-39
300,100000,300229,10,10,0.4,9.677577323024984e-41
300,100000,300217,10,10,0.4,9.036293322843939e-41
300,100000,300248,10,10,0.4,1.0779626687757086e-40
300,100000,300211,10,10,0.4,5.327077311880149e-41
300,100000,300209,10,10,0.4,1.6223216563244927e-40
300,100000,300273,10,10,0.4,6.536491160991701e-41
300,100000,300108,10,10,0.5,1.2255871581653601e-40
300,100000,300136,10,10,0.5,1.1683782863064339e-39
300,100000,300093,10,10,0.5,4.448311393744663e-40
300,100000,300109,10,10,0.5,1.4152378216815757e-40
300,100000,300136,10,10,0.5,2.020083897103415e-40
300,100000,300099,10,10,0.5,1.2343015443298228e-40
300,100000,300115,10,10,0.5,1.5338430250536332e-40
300,100000,300125,10,10,0.5,2.415173199329188e-40
300,100000,300104,10,10,0.5,1.5242346365673432e-40
300,100000,300101,10,10,0.5,1.0740631220845727e-40
300,100000,300089,10,10,0.5,1.094611326290678e-40
300,100000,300092,10,10,0.5,5.992739601792222e-41
300,100000,300112,10,10,0.5,3.176990456120812e-40
300,100000,300110,10,10,0.5,6.836525711008998e-38
300,100000,300089,10,10,0.5,1.2549053242580146e-40
300,100000,300120,10,10,0.5,1.0750203366289575e-40
300,100000,300072,10,10,0.6,2.9537966362122527e-40
300,100000,300077,10,10,0.6,7.327185914813892e-41
300,100000,300073,10,10,0.6,3.004995134794408e-40
300,100000,300066,10,10,0.6,9.722087912336989e-41
300,100000,300086,10,10,0.6,3.0838474696263375e-40
300,100000,300075,10,10,0.6,1.9179543311204304e-40
300,100000,300068,10,10,0.6,2.8605661607182843e-40
300,100000,300075,10,10,0.6,5.5771327258912384e-40
300,100000,300089,10,10,0.6,1.4998560683008614e-40
300,100000,300082,10,10,0.6,1.59394917660084e-40
300,100000,300069,10,10,0.6,2.5776855989204825e-40
300,100000,300066,10,10,0.6,1.916430695660369e-40
300,100000,300089,10,10,0.6,2.7039217291830674e-40
300,100000,300068,10,10,0.6,3.3298887740543817e-40
300,100000,300070,10,10,0.6,4.383848566063743e-40
300,100000,300075,10,10,0.6,2.9574246278233444e-40
300,100000,301017,10,10,0.7,2.0628667179658475e-40
300,100000,301015,10,10,0.7,4.194309862161816e-40
300,100000,301037,10,10,0.7,2.6658709012151156e-40
300,100000,300993,10,10,0.7,7.992991600652667e-40
300,100000,301050,10,10,0.7,7.70369815409842e-40
300,100000,300902,10,10,0.7,2.3323250832359613e-40
300,100000,300992,10,10,0.7,3.1108156004842864e-40
300,100000,300961,10,10,0.7,3.045053922282124e-40
300,100000,300886,10,10,0.7,4.478091579854537e-40
300,100000,301005,10,10,0.7,3.3363787942065152e-40
300,100000,300976,10,10,0.7,3.3175113639297117e-40
300,100000,300997,10,10,0.7,3.133437723415715e-40
300,100000,301002,10,10,0.7,2.7485010445495113e-40
300,100000,300959,10,10,0.7,3.2473774332350052e-40
300,100000,300887,10,10,0.7,1.3904516521506565e-40
300,100000,300951,10,10,0.7,3.2972954217590247e-40
