iteration,level,prior mass,likelihood,evidence
0,0,0.3178482260000137,0.0,0.0
1,0,0.21950530150251663,3.311850832166907e-193,0.0
2,0,0.21950530150251663,3.9098092309434306e-193,7.269688154461575e-194
3,0,0.21950530150251663,4.970934565152606e-193,1.5851926695017179e-193
4,0,0.21950530150251663,2.394756931431035e-191,2.676339159974822e-193
5,0,0.21950530150251663,8.629492558648478e-191,5.524252338587591e-192
6,0,0.10303066237809443,8.18069443414239e-189,2.4466445997586168e-191
7,0,0.10303066237809443,1.1887748403842115e-185,8.673288122600669e-190
8,0,0.10303066237809443,6.160129893002339e-185,1.225669921044248e-186
9,0,0.10303066237809443,8.84541725472215e-185,7.572492553155557e-186
10,0,0.10303066237809443,3.3465415494143087e-181,1.6685984540802044e-185
11,1,0.10303066237809443,9.879727641546135e-181,3.449632523573787e-182
12,1,0.10303066237809443,3.8380436020694444e-180,1.3628781353810456e-181
13,1,0.10303066237809443,4.446659679320363e-180,5.317239880953269e-181
14,1,0.10303066237809443,4.744354364944063e-180,9.898662802256688e-181
15,1,0.10303066237809443,1.8322779687577946e-178,1.4786802530022591e-180
16,1,0.042912913917485605,1.366096414540593e-177,2.0356761531192757e-179
17,1,0.042912913917485605,2.272997435410526e-177,7.897993937135896e-179
18,1,0.042912913917485605,6.804264738780763e-177,1.765208826517964e-178
19,1,0.042912913917485605,7.808141432639872e-176,4.6851170965887796e-178
20,1,0.042912913917485605,1.4894325839316897e-175,3.819212721203154e-177
21,2,0.042912913917485605,9.143157155341828e-175,1.021080194721903e-176
22,2,0.042912913917485605,1.426167641158641e-174,4.944675354134168e-176
23,2,0.042912913917485605,3.40308702398056e-174,1.1064776275828594e-175
24,2,0.042912913917485605,3.188885244783114e-173,2.56684143272076e-175
25,2,0.042912913917485605,4.467153639337105e-173,1.625127723293254e-174
26,2,0.042912913917485605,4.794237606327398e-173,3.542113519103811e-174
27,2,0.0167187216381201,9.011625895173779e-172,5.59946057610681e-174
28,2,0.0167187216381201,1.874028867550652e-170,2.066574706093534e-173
29,2,0.0167187216381201,3.0258543782798303e-170,3.339794168447433e-172
30,2,0.0167187216381201,1.1005070778008368e-169,8.398635875242177e-172
31,3,0.0167187216381201,1.6784137436808806e-169,2.6797707369775346e-171
32,3,0.0167187216381201,2.769965162672649e-169,5.485863954397105e-171
33,3,0.0167187216381201,7.429811551140004e-169,1.0116891604598512e-170
34,3,0.0063801256288946685,4.94835974353237e-167,2.2538586719318417e-170
35,3,0.0063801256288946685,6.493361127333763e-167,3.382501549263337e-169
36,3,0.0063801256288946685,2.890997084707085e-166,7.525347523880388e-169
37,3,0.0063801256288946685,6.66887033560299e-166,2.5970272117079833e-168
38,3,0.0063801256288946685,1.4784503757507097e-165,6.851850266103586e-168
39,3,0.0063801256288946685,1.577732638851631e-165,1.6284549399479642e-167
40,3,0.0063801256288946685,1.1793391660379747e-164,2.6350681844160547e-167
41,4,0.0063801256288946685,2.2082930914138006e-163,1.0159400222814203e-166
42,4,0.0063801256288946685,5.413120829675464e-163,1.5105127370921648e-165
43,4,0.0063801256288946685,1.236007685981885e-159,4.964151830863765e-165
44,4,0.0023983832509197555,1.7982062847396607e-159,7.890848466674683e-162
45,4,0.0023983832509197555,4.5048604819671873e-159,1.2203636301692925e-161
