iteration,level,prior mass,likelihood,evidence
0,0,0.411006649465,0.0,0.0
1,0,0.294785423340007,3.2386431771288104e-195,0.0
2,0,0.294785423340007,5.538122158352868e-195,9.547048000171416e-196
3,0,0.294785423340007,4.6501366727898184e-194,2.5872624849758652e-195
4,0,0.294785423340007,5.572587770351425e-194,1.629518756174825e-194
5,0,0.294785423340007,1.855630481748305e-193,3.2722364011572155e-194
6,0,0.294785423340007,3.1406949151544614e-193,8.742364572405168e-194
7,0,0.294785423340007,3.311850832166907e-193,1.8000675373861322e-193
8,0,0.294785423340007,3.9098092309434306e-193,2.7763528869854085e-193
9,0,0.294785423340007,4.970934565152606e-193,3.928907656307735e-193
10,0,0.294785423340007,8.688556555508518e-193,5.394266706491719e-193
11,0,0.294785423340007,9.605882168596974e-193,7.95552652892089e-193
12,0,0.294785423340007,9.948968083438847e-193,1.0787200570544973e-192
13,0,0.294785423340007,4.186526681267109e-192,1.3720011338817713e-192
14,0,0.294785423340007,1.3372388554093626e-191,2.6061281739433305e-192
15,0,0.294785423340007,2.394756931431035e-191,6.5481133949288846e-192
16,0,0.294785423340007,2.995070483135269e-191,1.3607507753212023e-191
17,0,0.294785423340007,8.629492558648478e-191,2.2436538956253918e-191
18,0,0.294785423340007,1.2031492561548447e-189,4.787502512736023e-191
19,0,0.11381438316634614,5.420448630093688e-189,4.0254588794418065e-190
20,0,0.11381438316634614,5.686390842292503e-189,1.0194709052631597e-189
21,0,0.11381438316634614,5.739192796063339e-189,1.6666639714214405e-189
22,0,0.11381438316634614,8.18069443414239e-189,2.3198666593781266e-189
23,1,0.11381438316634614,8.595675812819481e-189,3.2509473502724036e-189
24,1,0.11381438316634614,1.2595128823378812e-188,4.229258890806334e-189
25,1,0.11381438316634614,1.6857341699358914e-188,5.66276570873986e-189
26,1,0.11381438316634614,3.268301524167696e-188,7.58137365607672e-189
27,0,0.11381438316634614,6.851249025113617e-188,1.1301170875824472e-188
28,0,0.11381438316634614,8.823572266232164e-188,1.9098877692947838e-188
29,1,0.11381438316634614,9.328271371930749e-188,2.914137204099676e-188
30,1,0.11381438316634614,1.387309786562272e-187,3.9758286563042594e-188
31,0,0.11381438316634614,2.074898581192262e-187,5.5547867324864624e-188
32,1,0.11381438316634614,6.206346986643646e-187,7.916319753997703e-188
33,1,0.11381438316634614,7.826353160176808e-187,1.4980035294009281e-187
34,1,0.11381438316634614,1.5802171974434772e-186,2.3887550867684354e-187
35,1,0.11381438316634614,1.6124738683412548e-186,4.1872695427272506e-187
36,1,0.11381438316634614,4.010179728625814e-186,6.02249672969837e-187
37,1,0.11381438316634614,4.035052782399957e-186,1.0586658051695694e-186
38,1,0.11381438316634614,4.871975753465365e-186,1.5179128486420693e-186
39,1,0.11381438316634614,6.595852494912719e-186,2.0724137638241243e-186
40,1,0.11381438316634614,1.2787509048892611e-185,2.8231166469888207e-186
41,1,0.11381438316634614,6.160129893002339e-185,4.278519101622603e-186
42,1,0.11381438316634614,6.77490546636331e-185,1.1289632941588913e-185
43,1,0.11381438316634614,7.434427261124056e-185,1.900044980823338e-185
44,1,0.11381438316634614,9.333050621703406e-185,2.7461897337432407e-185
45,1,0.11381438316634614,2.491087098787812e-184,3.808425133312697e-185
46,1,0.11381438316634614,4.474587110254871e-184,6.643640548934472e-185
47,1,0.11381438316634614,6.033918932387918e-184,1.1736364267711887e-184
48,1,0.11381438316634614,1.2468225248205612e-183,1.8603831881366574e-184
49,1,0.11381438316634614,1.3485229564146692e-183,3.279446553940242e-184
50,1,0.11381438316634614,2.242422274065367e-183,4.814259638640173e-184
51,1,0.11381438316634614,5.0609868973792626e-183,7.366458717852422e-184
52,2,0.11381438316634614,2.0081219344281184e-182,1.312658973723423e-183
53,1,0.11381438316634614,2.4425956170313842e-182,3.598190566620884e-183
54,1,0.11381438316634614,2.909186557489282e-182,6.37821570139336e-183
55,1,0.11381438316634614,9.611004062346807e-182,9.689288436958046e-183
56,1,0.11381438316634614,3.3465415494143087e-181,2.0627993426610533e-182
57,1,0.11381438316634614,5.547910738059362e-181,5.8716449645324316e-182
58,1,0.11381438316634614,5.987627372810454e-181,1.2185965349674175e-181
59,2,0.11381438316634614,9.10109638984861e-181,1.900074651033769e-181
60,2,0.11381438316634614,9.879727641546135e-181,2.935910322781848e-181
61,1,0.04455955656755496,2.8510925022568888e-180,4.0603654301559214e-181
62,1,0.04455955656755496,4.446659679320363e-180,5.330799606492398e-181
63,2,0.04455955656755496,6.6421114232955185e-180,7.312211441665813e-181
64,2,0.04455955656755496,6.70211972643009e-179,1.027190683860921e-180
65,1,0.04455955656755496,8.403242460557114e-179,4.013625514584797e-180
66,1,0.04455955656755496,1.2624475211100758e-178,7.75807309230554e-180
67,1,0.04455955656755496,2.3059872460746634e-178,1.3383483265352938e-179
68,1,0.04455955656755496,2.79189314947631e-178,2.3658860178905362e-179
69,2,0.04455955656755496,2.873738929873094e-178,3.6099412251371246e-179
70,2,0.04455955656755496,6.927816060925195e-178,4.890466549197775e-179
71,2,0.04455955656755496,7.923373097603933e-178,7.977470665761895e-179
72,2,0.04455955656755496,9.914544097678144e-178,1.1508090583247151e-178
73,2,0.04455955656755496,3.4668286820847698e-177,1.5925967468867226e-178
74,2,0.04455955656755496,3.7399155089783707e-177,3.1374002345805057e-178
75,2,0.04455955656755496,1.2988230633445345e-176,4.803890001382484e-178
76,2,0.04455955656755496,1.3624909658699279e-176,1.0591387977617064e-177
77,2,0.04455955656755496,2.0768693403114492e-176,1.6662587304263427e-177
78,2,0.04455955656755496,2.5285802811094334e-176,2.5917024989566287e-177
79,1,0.04455955656755496,2.7938549400528586e-176,3.718426659673627e-177
80,1,0.04455955656755496,3.069211059007821e-176,4.9633560321019095e-177
81,2,0.04455955656755496,3.707774887692469e-176,6.330982870118152e-177
82,2,0.04455955656755496,1.1247147676021419e-175,7.983150918597075e-177
83,1,0.04455955656755496,4.2019080496596624e-175,1.2994830049530282e-176
84,2,0.04455955656755496,2.4033051403288495e-174,3.171834599257771e-176
85,2,0.04455955656755496,4.43018852946115e-174,1.388085573421567e-175
86,2,0.04455955656755496,5.0458233294399405e-174,3.3621579372561395e-175
87,1,0.04455955656755496,1.4398344594910686e-173,5.610554438036815e-175
88,2,0.04455955656755496,1.4555790230104388e-173,1.2026392942597536e-174
89,3,0.017487640033425293,3.4460003408362414e-173,1.8512388524035538e-174
90,2,0.017487640033425293,5.038049717299561e-173,2.4538629875596045e-174
91,3,0.017487640033425293,5.285193860105634e-173,3.334898986825952e-174
92,3,0.017487640033425293,9.582052469285388e-173,4.259154664149921e-174
93,3,0.017487640033425293,1.405489157066653e-172,5.934829507792489e-174
94,2,0.017487640033425293,1.9171730082187408e-172,8.392698352758885e-174
95,2,0.017487640033425293,4.0774334252811485e-172,1.174538149771173e-173
96,2,0.017487640033425293,4.216922604929914e-172,1.8875850297869033e-173
97,1,0.017487640033425293,2.8428400151149415e-171,2.6250252754251874e-173
98,2,0.017487640033425293,4.582947217940349e-171,7.59648156111993e-173
99,2,0.017487640033425293,6.995511146993687e-171,1.56109746850728e-172
100,3,0.017487640033425293,3.694287320096267e-170,2.784447276391677e-172
101,3,0.017487640033425293,8.286200668267933e-170,9.244883959780769e-172
102,3,0.017487640033425293,3.583802004419923e-169,2.3735493412920542e-171
103,2,0.017487640033425293,5.272541116178086e-169,8.64077328172842e-171
104,3,0.017487640033425293,1.416010978245845e-168,1.7861203391844096e-170
105,3,0.017487640033425293,2.4835379485799303e-168,4.262389366278585e-170
106,3,0.017487640033425293,2.199046029431605e-167,8.605511131690316e-170
107,3,0.006392581349287566,5.635000129566735e-167,4.7061636511323385e-169
108,3,0.006392581349287566,5.641045284002931e-167,8.308383324282472e-169
109,3,0.006392581349287566,5.855088707053078e-167,1.1914467411582845e-168
110,3,0.006392581349287566,1.2703537530474423e-166,1.565738049829602e-168
111,3,0.006392581349287566,2.465793453769014e-166,2.3778220207024566e-168
112,3,0.006392581349287566,2.6099802348529602e-166,3.9541005450783735e-168
113,3,0.006392581349287566,6.832740805234765e-166,5.622551642211395e-168
114,3,0.006392581349287566,9.596199966622495e-166,9.990436785817381e-168
115,4,0.006392581349287566,1.3153556979800934e-165,1.6124885678883875e-167
116,4,0.006392581349287566,1.3273190164872413e-165,2.453340398147055e-167
117,3,0.006392581349287566,1.516675158981387e-165,3.3018398770821603e-167
118,4,0.006392581349287566,2.8789157265854918e-165,4.271386810505377e-167
119,4,0.006392581349287566,1.6341900469746064e-164,6.111757108499485e-167
120,4,0.006392581349287566,2.187943567590903e-164,1.6558449923980728e-166
121,4,0.006392581349287566,8.688281428119377e-164,3.0545057167456034e-166
122,4,0.006392581349287566,1.7965123892938148e-163,8.608560298221351e-166
123,3,0.006392581349287566,2.0440693016525094e-163,2.0092911891785035e-165
124,4,0.006392581349287566,2.04959282134592e-163,3.3159791186180126e-165
125,4,0.006392581349287566,2.364895933552885e-163,4.626198002954973e-165
126,3,0.006392581349287566,4.570625032204943e-163,6.137976966738592e-165
127,4,0.006392581349287566,6.848897072069015e-163,9.059786200284613e-165
128,4,0.006392581349287566,6.99647112487151e-162,1.3437999368894474e-164
129,4,0.006392581349287566,7.208262617882357e-162,5.816351019257709e-164
130,4,0.006392581349287566,7.894695368180636e-162,1.042429153644186e-163
131,4,0.006392581349287566,1.3160370860991532e-161,1.5471039773335708e-163
132,4,0.006392581349287566,2.913276417916941e-161,2.388391390490391e-163
133,4,0.006392581349287566,5.364638801298316e-161,4.250727039939904e-163
134,4,0.006392581349287566,1.0116440571632202e-160,7.680116034624306e-163
135,4,0.006392581349287566,1.6413282947027746e-160,1.4147132966563514e-162
136,4,0.0024207452911440487,2.655500296050342e-160,2.463945761133844e-162
137,4,0.0024207452911440487,1.5502514920771327e-159,3.106774744863393e-162
138,4,0.0024207452911440487,1.7811696554582707e-159,6.859538744398147e-162
139,4,0.0024207452911440487,3.384410110005401e-159,1.1171296800577424e-161
140,5,0.0024207452911440487,3.448816519472616e-159,1.9364091637673312e-161
141,5,0.0024207452911440487,4.429157779862027e-159,2.7712797987206454e-161
142,5,0.0024207452911440487,5.958933569639691e-159,3.8434660826541486e-161
143,5,0.0024207452911440487,1.0126314693043526e-158,5.285972120548697e-161
144,5,0.0024207452911440487,1.1217844198074262e-158,7.737294981531487e-161
145,4,0.0024207452911440487,1.6027264088708085e-158,1.0452849333459072e-160
146,5,0.0024207452911440487,1.732296238117111e-158,1.4332641740725293e-160
147,4,0.0024207452911440487,4.194810934916361e-158,1.852608970201384e-160
148,5,0.0024207452911440487,7.157430666876472e-158,2.868065851995219e-160
149,4,0.0024207452911440487,1.468022839793327e-157,4.6006975103483415e-160
150,4,0.0024207452911440487,2.334564299640819e-157,8.154406887069953e-160
151,5,0.0024207452911440487,3.095970127748369e-157,1.380579242229847e-159
152,4,0.0024207452911440487,5.443705743099409e-157,2.1300347530567973e-159
153,5,0.0024207452911440487,8.234094808779932e-157,3.447817257454968e-159
154,5,0.0024207452911440487,8.391997521833275e-157,5.441081880973736e-159
155,4,0.0024207452911440487,1.0890905777792281e-156,7.472570729400779e-159
156,4,0.0024207452911440487,1.1889046785909977e-156,1.0108981617189196e-158
157,4,0.00089802150409182,7.957154644598801e-156,1.2987017019507482e-158
158,5,0.00089802150409182,4.327864684404212e-155,2.013271300174131e-158
159,4,0.00089802150409182,5.273537415644041e-155,5.899786853568671e-158
160,5,0.00089802150409182,8.542559339155791e-155,1.0635536855449821e-157
161,5,0.00089802150409182,9.656145978229153e-155,1.830693884199213e-157
162,5,0.00089802150409182,1.9503699500551434e-154,2.697836557709165e-157
163,5,0.00089802150409182,3.3511350528258165e-154,4.449310713793173e-157
164,5,0.00089802150409182,4.368190427413708e-154,7.458702054346632e-157
165,5,0.00089802150409182,6.44043209402197e-154,1.138143099213218e-156
166,5,0.00089802150409182,9.068612066926082e-154,1.7165077508207017e-156
167,6,0.00089802150409182,1.0534820474423833e-153,2.5308886156573207e-156
168,6,0.00089802150409182,4.3437051934373294e-153,3.47693814843526e-156
169,6,0.00089802150409182,4.617362324179504e-153,7.377678819577301e-156
170,6,0.00089802150409182,6.008692294543135e-153,1.152416947887388e-155
171,6,0.00089802150409182,6.762126924538347e-153,1.6920104370844435e-155
172,6,0.00089802150409182,2.0637424550666506e-152,2.2992639762478156e-155
173,6,0.00089802150409182,4.7770100890654084e-152,4.1525490798049146e-155
174,6,0.00089802150409182,1.4714451279387981e-151,8.442406865049232e-155
175,5,0.00089802150409182,4.033439214767621e-151,2.1656300534851034e-154
176,6,0.0003354626222118735,1.7268736493501754e-150,5.7877452037936515e-154
177,6,0.0003354626222118735,2.13612780048272e-150,1.1580760830189624e-153
178,6,0.0003354626222118735,3.3361892599407856e-150,1.8746671163485775e-153
179,6,0.0003354626222118735,8.06792263188261e-150,2.993833913683403e-153
