max_level,L_per_level,max_points,C1,lam,beta,quantile
100,2000,10000,200,10,10,0.36787944117144233
iteration,level,prior mass,likelihood,evidence
0,0,0.0001499560708571046,0.0,0.0
1,0,0.00014093838824489124,4.2328690370184077e-196,0.0
2,0,0.00014093838824489124,1.7020844988121686e-195,5.965737397290793e-200
3,0,0.00014093838824489124,5.002095776398378e-195,2.995464198921085e-199
4,0,0.00014093838824489124,5.287194039393869e-195,1.0045337364642737e-198
5,0,0.00014093838824489124,7.124667520654873e-195,1.7497023427144417e-198
6,0,0.00014093838824489124,1.3513286468481172e-194,2.753841499856265e-198
7,0,0.00014093838824489124,2.5832231152682803e-194,4.6583823146154996e-198
8,0,0.00014093838824489124,4.2694108021843425e-194,8.299135338044083e-198
9,0,0.00014093838824489124,5.690909936319897e-194,1.4316374110195975e-197
10,0,0.00014093838824489124,1.3023577239624063e-193,2.2337050850913605e-197
11,0,0.00014093838824489124,1.355254775195995e-193,4.0692270704268254e-197
12,0,0.00014093838824489124,1.8799733640302634e-193,5.979301307199985e-197
13,0,0.00014093838824489124,1.908902060727787e-193,8.628905465897501e-197
14,0,0.00014093838824489124,2.2948320201364426e-193,1.131928126346076e-196
15,0,0.00014093838824489124,3.119310175469077e-193,1.455358052556874e-196
16,0,0.00014093838824489124,5.041900153272858e-193,1.8949886011233745e-196
17,0,0.00014093838824489124,5.512323148193407e-193,2.605585882417321e-196
18,0,0.00014093838824489124,1.1108924707560772e-192,3.3824838224087046e-196
19,0,0.00014093838824489124,1.3982455660464319e-192,4.94815776582617e-196
20,0,0.00014093838824489124,2.5565445717751064e-192,6.918822530317667e-196
21,1,0.00014093838824489124,4.261143665035248e-192,1.0521975244539758e-195
22,1,0.00014093838824489124,5.322104314387905e-192,1.6527562446839725e-195
23,1,0.00014093838824489124,8.672964441306788e-192,2.4028450488249858e-195
24,1,0.00014093838824489124,1.7020939939926398e-191,3.625198678488018e-195
25,1,0.00014093838824489124,2.6911177471333237e-191,6.0241025200343404e-195
26,1,0.00014093838824489124,2.6914712023249428e-191,9.816920498616276e-195
27,1,0.00014093838824489124,3.3326245348454184e-191,1.3610236631248446e-194
28,1,0.00014093838824489124,4.1996177973129186e-191,1.8307183936913382e-194
29,1,0.00014093838824489124,9.595135222055945e-191,2.4226057572891813e-194
30,1,0.00014093838824489124,1.4538161080703972e-190,3.774928650477533e-194
31,1,0.00014093838824489124,5.307279385032622e-189,5.823913641236557e-194
32,1,0.00014093838824489124,9.35965954297612e-189,8.062385389042009e-193
33,1,0.00014093838824489124,1.5111661186021796e-188,2.1253738694121705e-192
34,1,0.00014093838824489124,1.737942568141189e-188,4.255187040672964e-192
35,1,0.00014093838824489124,1.917159971270266e-188,6.704615284833026e-192
36,1,9.645971434904315e-05,2.485566585742782e-188,9.40662964841756e-192
37,1,9.645971434904315e-05,2.890902170074669e-188,1.1804200076980312e-191
38,1,9.645971434904315e-05,4.9023659837816216e-188,1.459275605234463e-191
