max_level,L_per_level,levels_finished,lam,beta,quantile,evidence
100,10000,22642,10,0,0.36787944117144233,2.608161215805869e-38
100,10000,21547,10,0,0.36787944117144233,5.862130737979358e-39
100,10000,22225,10,0,0.36787944117144233,2.2524676448271747e-38
100,10000,21346,10,0,0.36787944117144233,1.7218640465151766e-39
100,10000,21203,10,0,0.36787944117144233,1.725122009982522e-39
100,10000,19930,10,0,0.36787944117144233,1.1188382640250307e-40
100,10000,21263,10,0,0.36787944117144233,5.237783004494106e-39
100,10000,21095,10,0,0.36787944117144233,7.408045002831318e-39
100,10000,21573,10,0,0.36787944117144233,8.209195447139928e-38
100,10000,21038,10,0,0.36787944117144233,5.7998301466682505e-39
100,10000,21259,10,0,0.36787944117144233,6.291724132093322e-39
100,10000,21933,10,0,0.36787944117144233,5.83339100549253e-38
100,10000,20844,10,0,0.36787944117144233,4.568972822636994e-39
100,10000,21074,10,0,0.36787944117144233,6.991704226942012e-39
100,10000,20846,10,0,0.36787944117144233,1.435106876791687e-39
100,10000,20192,10,0,0.36787944117144233,1.0514028649857038e-39
100,10000,17446,10,0.5,0.36787944117144233,5.359088598955439e-41
100,10000,16482,10,0.5,0.36787944117144233,3.63206153811621e-42
100,10000,18143,10,0.5,0.36787944117144233,2.6079486286308153e-38
100,10000,18147,10,0.5,0.36787944117144233,1.828832565689043e-39
100,10000,16117,10,0.5,0.36787944117144233,2.6237594205446087e-40
100,10000,17352,10,0.5,0.36787944117144233,2.1604513079053264e-41
100,10000,16867,10,0.5,0.36787944117144233,6.301360026084906e-41
100,10000,18434,10,0.5,0.36787944117144233,1.0827770901816326e-40
100,10000,22521,10,0.5,0.36787944117144233,1.1932229859027727e-39
100,10000,17770,10,0.5,0.36787944117144233,3.371493145036615e-39
100,10000,17924,10,0.5,0.36787944117144233,8.703275438307007e-41
100,10000,19390,10,0.5,0.36787944117144233,8.887695708731517e-41
100,10000,21101,10,0.5,0.36787944117144233,8.250715412240278e-40
100,10000,16791,10,0.5,0.36787944117144233,7.260765850332455e-42
100,10000,19510,10,0.5,0.36787944117144233,8.717851440579104e-40
100,10000,17134,10,0.5,0.36787944117144233,3.5135680846911787e-40
100,10000,14901,10,1,0.36787944117144233,8.604318644269129e-41
100,10000,14003,10,1,0.36787944117144233,1.0730983101814474e-41
100,10000,13412,10,1,0.36787944117144233,2.2012241834356984e-41
100,10000,13851,10,1,0.36787944117144233,5.6423591938414776e-42
100,10000,14490,10,1,0.36787944117144233,1.156652508575065e-41
100,10000,14192,10,1,0.36787944117144233,2.9933936900448647e-42
100,10000,20192,10,1,0.36787944117144233,1.993795935162791e-40
100,10000,13611,10,1,0.36787944117144233,3.2818681824257124e-41
100,10000,14851,10,1,0.36787944117144233,2.9759143220006537e-41
100,10000,13923,10,1,0.36787944117144233,4.3281594343140957e-41
100,10000,14150,10,1,0.36787944117144233,7.292415263151621e-40
100,10000,13661,10,1,0.36787944117144233,7.687423949010051e-42
100,10000,15188,10,1,0.36787944117144233,7.971456202816738e-41
100,10000,14245,10,1,0.36787944117144233,1.7284610044421294e-41
100,10000,15551,10,1,0.36787944117144233,8.130638435735721e-41
100,10000,14654,10,1,0.36787944117144233,6.278123031994406e-42
100,10000,11185,10,2,0.36787944117144233,9.115610141554545e-42
100,10000,10938,10,2,0.36787944117144233,1.60204498931775e-42
100,10000,11176,10,2,0.36787944117144233,1.9373375655711593e-41
100,10000,11090,10,2,0.36787944117144233,4.738500787238808e-41
100,10000,11283,10,2,0.36787944117144233,3.4529490906977463e-41
100,10000,11384,10,2,0.36787944117144233,4.917525963486095e-41
100,10000,11223,10,2,0.36787944117144233,4.683015570432685e-40
100,10000,11276,10,2,0.36787944117144233,2.827214496737269e-41
100,10000,11132,10,2,0.36787944117144233,2.0017116087695917e-41
100,10000,11421,10,2,0.36787944117144233,2.071387447748992e-40
100,10000,11051,10,2,0.36787944117144233,5.863642806141887e-42
100,10000,11134,10,2,0.36787944117144233,6.082650440865602e-42
100,10000,11380,10,2,0.36787944117144233,4.1903358668215626e-41
100,10000,11039,10,2,0.36787944117144233,1.1855333980333918e-40
100,10000,11283,10,2,0.36787944117144233,2.8675747451804717e-43
100,10000,11223,10,2,0.36787944117144233,6.254616743737115e-42
100,10000,10076,10,5,0.36787944117144233,6.584839891225125e-42
100,10000,10076,10,5,0.36787944117144233,5.2918448345381564e-42
100,10000,10065,10,5,0.36787944117144233,4.1994766447306454e-41
100,10000,10051,10,5,0.36787944117144233,1.1103037134644904e-41
100,10000,10079,10,5,0.36787944117144233,1.76851556736837e-40
100,10000,10049,10,5,0.36787944117144233,1.6751711408807632e-41
100,10000,10056,10,5,0.36787944117144233,3.2329253104815203e-43
100,10000,10060,10,5,0.36787944117144233,6.614893777075184e-41
100,10000,10048,10,5,0.36787944117144233,4.475166582122973e-41
100,10000,10061,10,5,0.36787944117144233,2.981518080284559e-41
100,10000,10063,10,5,0.36787944117144233,1.2482777421772086e-40
100,10000,10066,10,5,0.36787944117144233,2.987774778666205e-40
100,10000,10054,10,5,0.36787944117144233,3.141796169051446e-41
100,10000,10054,10,5,0.36787944117144233,4.647410780068533e-41
100,10000,10059,10,5,0.36787944117144233,2.96429656435779e-42
100,10000,10051,10,5,0.36787944117144233,8.01830363359003e-43
100,10000,10035,10,7,0.36787944117144233,1.389989872604017e-41
100,10000,10045,10,7,0.36787944117144233,3.417307130775441e-42
100,10000,10041,10,7,0.36787944117144233,8.493037892871015e-42
100,10000,10033,10,7,0.36787944117144233,1.2024220668405225e-41
100,10000,10043,10,7,0.36787944117144233,5.1103504914772995e-40
100,10000,10052,10,7,0.36787944117144233,2.0923279849722446e-41
100,10000,10033,10,7,0.36787944117144233,3.3847829206026494e-42
100,10000,10039,10,7,0.36787944117144233,3.0796892082728693e-40
100,10000,10029,10,7,0.36787944117144233,9.954339402227774e-42
100,10000,10055,10,7,0.36787944117144233,7.940255876092288e-42
100,10000,10041,10,7,0.36787944117144233,2.0061219207013738e-41
100,10000,10056,10,7,0.36787944117144233,2.948088242062559e-42
100,10000,10045,10,7,0.36787944117144233,1.3660693795611255e-40
100,10000,10061,10,7,0.36787944117144233,2.5100196388215445e-41
100,10000,10033,10,7,0.36787944117144233,9.228391405798474e-43
100,10000,10032,10,7,0.36787944117144233,1.9392527675469053e-41
100,10000,10035,10,10,0.36787944117144233,1.3636000892802573e-41
100,10000,10046,10,10,0.36787944117144233,9.317596528318263e-41
100,10000,10042,10,10,0.36787944117144233,6.025088537128652e-41
100,10000,10033,10,10,0.36787944117144233,1.2105151961379328e-41
100,10000,10053,10,10,0.36787944117144233,5.342968921755438e-41
100,10000,10031,10,10,0.36787944117144233,2.167244534178006e-42
100,10000,10032,10,10,0.36787944117144233,3.699173778506673e-42
100,10000,10054,10,10,0.36787944117144233,1.7080981293479166e-39
100,10000,10047,10,10,0.36787944117144233,8.425146416912988e-42
100,10000,10043,10,10,0.36787944117144233,1.0049044882022585e-41
100,10000,10041,10,10,0.36787944117144233,2.0317570506744537e-41
100,10000,10041,10,10,0.36787944117144233,4.8624112969359613e-42
100,10000,10039,10,10,0.36787944117144233,1.3513867886083706e-41
100,10000,10049,10,10,0.36787944117144233,2.1480004289936165e-41
100,10000,10041,10,10,0.36787944117144233,3.18223663848117e-42
100,10000,10041,10,10,0.36787944117144233,1.4229711088717796e-40
