max_level,L_per_level,levels_finished,lam,beta,quantile,evidence
300,10000,58270,10,10,0.05,7.094126257289882e-41
300,10000,71525,10,10,0.05,3.34337691084709e-41
300,10000,57492,10,10,0.05,5.449095953436258e-42
300,10000,207541,10,10,0.05,1.3660475108930613e-40
300,10000,53254,10,10,0.05,1.5148725676697463e-41
300,10000,63617,10,10,0.05,2.4571392995865806e-40
300,10000,65240,10,10,0.05,1.8781161460995303e-39
300,10000,51777,10,10,0.05,9.72517430935171e-40
300,10000,43712,10,10,0.05,1.5201586487559278e-43
300,10000,97654,10,10,0.05,4.641816468085118e-41
300,10000,59808,10,10,0.05,1.5691201406555831e-40
300,10000,49261,10,10,0.05,1.044211372428331e-40
300,10000,52389,10,10,0.05,3.272462841330982e-42
300,10000,52884,10,10,0.05,7.686380438729609e-45
300,10000,495800,10,10,0.05,1.1195611760124975e-42
300,10000,62364,10,10,0.05,1.7233945981650932e-42
300,10000,33422,10,10,0.1,1.069406416047292e-40
300,10000,37052,10,10,0.1,7.234406065955124e-44
300,10000,32810,10,10,0.1,1.8686243252515584e-43
300,10000,33553,10,10,0.1,3.060493077755233e-40
300,10000,32662,10,10,0.1,1.2962699545851765e-42
300,10000,35953,10,10,0.1,1.0308789376354188e-38
300,10000,34691,10,10,0.1,3.5925093075248394e-42
300,10000,32605,10,10,0.1,1.003998577643772e-42
300,10000,32293,10,10,0.1,1.2493832682912968e-41
300,10000,32120,10,10,0.1,1.1561378764130215e-42
300,10000,32873,10,10,0.1,1.4396033613454262e-41
300,10000,32487,10,10,0.1,2.1322827440086702e-43
300,10000,34344,10,10,0.1,5.05137694228469e-43
300,10000,33399,10,10,0.1,8.049541755809129e-43
300,10000,33661,10,10,0.1,2.0727020228327598e-43
300,10000,38752,10,10,0.1,6.608474566486639e-42
300,10000,30522,10,10,0.2,4.810794973086663e-41
300,10000,30570,10,10,0.2,5.904681275044697e-41
300,10000,30551,10,10,0.2,5.612218679701641e-42
300,10000,30549,10,10,0.2,2.805053758709299e-43
300,10000,30529,10,10,0.2,2.374168037827478e-40
300,10000,30645,10,10,0.2,1.3364502630360955e-40
300,10000,30596,10,10,0.2,2.501213888977502e-40
300,10000,30618,10,10,0.2,6.477052309559697e-39
300,10000,30476,10,10,0.2,5.3964462360960294e-42
300,10000,30702,10,10,0.2,8.413723227759714e-40
300,10000,30516,10,10,0.2,3.2732208778315415e-42
300,10000,30522,10,10,0.2,3.342007455739217e-41
300,10000,30565,10,10,0.2,1.58212975142517e-41
300,10000,30559,10,10,0.2,1.3943578022253872e-43
300,10000,30512,10,10,0.2,3.7418222683038897e-42
300,10000,30632,10,10,0.2,5.020076428697987e-41
300,10000,30119,10,10,0.36787944117144233,3.0410629217183526e-39
300,10000,30118,10,10,0.36787944117144233,2.1347537974871066e-38
300,10000,30136,10,10,0.36787944117144233,1.350812313300437e-38
