max_level,L_per_level,levels_finished,lam,beta,quantile,evidence
300,1000,60,10,10,0.05,3.3213290620045466e-48
300,1000,85,10,10,0.05,7.315229371115144e-49
300,1000,40,10,10,0.05,1.62893786211949e-44
300,1000,86,10,10,0.05,6.359959032214179e-49
300,1000,12,10,10,0.05,9.122395052081439e-50
300,1000,4,10,10,0.05,1.5493847560688948e-43
300,1000,96,10,10,0.05,3.671720467279186e-49
300,1000,74,10,10,0.05,2.0665473750615734e-44
300,1000,24,10,10,0.05,6.036464115460529e-49
300,1000,17,10,10,0.05,4.1315936290009727e-47
300,1000,67,10,10,0.05,5.392123206293074e-44
300,1000,13,10,10,0.05,3.610421209390538e-49
300,1000,25,10,10,0.05,7.060349115391656e-51
300,1000,84,10,10,0.05,7.77576951236779e-46
300,1000,79,10,10,0.05,5.409923801045787e-47
300,1000,95,10,10,0.05,1.1253292015760058e-47
300,1000,52,10,10,0.1,1.7468870033456306e-43
300,1000,71,10,10,0.1,1.8603145817931812e-43
300,1000,67,10,10,0.1,6.077202456494141e-45
300,1000,15,10,10,0.1,1.3533173467177105e-48
300,1000,20,10,10,0.1,1.2181809053573678e-39
300,1000,79,10,10,0.1,2.9744317564597636e-43
300,1000,95,10,10,0.1,7.967816307656194e-43
300,1000,33,10,10,0.1,3.6022111885466804e-50
300,1000,99,10,10,0.1,2.6625924579457675e-45
300,1000,63,10,10,0.1,2.218322624311587e-44
300,1000,79,10,10,0.1,7.002922222632884e-50
300,1000,91,10,10,0.1,9.83957077887458e-49
300,1000,68,10,10,0.1,1.1676747483113966e-44
300,1000,77,10,10,0.1,1.2821247374797195e-42
300,1000,37,10,10,0.1,4.718216962975734e-48
300,1000,9,10,10,0.1,2.103712735904256e-51
300,1000,93,10,10,0.2,5.1945689607657685e-42
300,1000,15,10,10,0.2,2.156217693657782e-40
300,1000,45,10,10,0.2,2.9875971451327656e-40
300,1000,49,10,10,0.2,2.3714514863566396e-42
300,1000,0,10,10,0.2,1.608602507729224e-44
300,1000,19,10,10,0.2,2.4737531981034054e-44
300,1000,84,10,10,0.2,3.539937518626072e-42
300,1000,5,10,10,0.2,1.0052379558621169e-46
300,1000,36,10,10,0.2,5.379476017562246e-40
300,1000,34,10,10,0.2,2.6615432222635524e-41
300,1000,67,10,10,0.2,9.89700343267535e-38
300,1000,62,10,10,0.2,1.0413349555030577e-39
300,1000,63,10,10,0.2,1.0192611682349968e-43
300,1000,44,10,10,0.2,2.0089403694129293e-38
300,1000,7,10,10,0.2,5.493722798815923e-40
300,1000,23,10,10,0.2,2.0920422343816427e-45
300,1000,0,10,10,0.36787944117144233,1.083794958347395e-41
300,1000,0,10,10,0.36787944117144233,1.181696811373215e-43
300,1000,0,10,10,0.36787944117144233,6.295058781422057e-36
300,1000,0,10,10,0.36787944117144233,2.92757316682027e-41
300,1000,0,10,10,0.36787944117144233,3.939552708508497e-41
300,1000,59,10,10,0.36787944117144233,2.550232010619005e-41
300,1000,0,10,10,0.36787944117144233,2.1184900043244914e-42
300,1000,0,10,10,0.36787944117144233,2.6131576385189894e-41
300,1000,0,10,10,0.36787944117144233,7.984420839146331e-41
300,1000,0,10,10,0.36787944117144233,1.0793194290198755e-39
300,1000,0,10,10,0.36787944117144233,3.557417044977914e-41
300,1000,0,10,10,0.36787944117144233,1.438502267169686e-40
300,1000,0,10,10,0.36787944117144233,7.9816452836778e-42
300,1000,0,10,10,0.36787944117144233,1.7030656477913396e-41
300,1000,0,10,10,0.36787944117144233,4.525559057467095e-38
