max_level,L_per_level,levels_finished,lam,beta,quantile,evidence
100,500,605,10,10,0.36787944117144233,1.4424945635229276e-53
100,500,887,10,10,0.36787944117144233,1.6438404776669116e-52
100,500,648,10,10,0.36787944117144233,9.026542740249865e-52
100,500,933,10,10,0.36787944117144233,2.1253341463215202e-48
100,500,1143,10,10,0.36787944117144233,4.764620362929539e-47
100,500,603,10,10,0.36787944117144233,5.90868619694402e-55
100,500,796,10,10,0.36787944117144233,5.520661750031859e-51
100,500,567,10,10,0.36787944117144233,1.328890561125774e-51
100,500,3037,10,10,0.36787944117144233,6.1701402760308065e-49
100,500,584,10,10,0.36787944117144233,3.407047303234158e-56
100,500,528,10,10,0.36787944117144233,9.190944318698407e-61
100,500,748,10,10,0.36787944117144233,1.7084388543687714e-48
100,500,576,10,10,0.36787944117144233,1.2634884151418347e-49
100,500,526,10,10,0.36787944117144233,1.8879365407747203e-54
100,500,584,10,10,0.36787944117144233,5.482882461086218e-52
100,500,794,10,10,0.36787944117144233,1.2896009392705628e-52
100,750,991,10,10,0.36787944117144233,7.852150232812674e-51
100,750,1415,10,10,0.36787944117144233,8.572125509438202e-47
100,750,3365,10,10,0.36787944117144233,2.8439989785597797e-44
100,750,904,10,10,0.36787944117144233,1.1014559873949505e-54
100,750,995,10,10,0.36787944117144233,5.4210910438328306e-45
100,750,1236,10,10,0.36787944117144233,1.818601060298021e-43
100,750,1065,10,10,0.36787944117144233,3.3361819268577063e-49
100,750,1145,10,10,0.36787944117144233,9.21687554436604e-49
100,750,1028,10,10,0.36787944117144233,2.7392136086000056e-49
100,750,831,10,10,0.36787944117144233,5.937778781607178e-52
100,750,842,10,10,0.36787944117144233,2.498167719423193e-52
100,750,1060,10,10,0.36787944117144233,1.2125538336427029e-45
100,750,1260,10,10,0.36787944117144233,1.0216187070581941e-47
100,750,1336,10,10,0.36787944117144233,8.046064808348924e-47
100,750,835,10,10,0.36787944117144233,1.619995358200374e-48
100,750,1044,10,10,0.36787944117144233,5.004220769172266e-49
100,1000,1360,10,10,0.36787944117144233,2.378268672973872e-44
100,1000,2338,10,10,0.36787944117144233,3.17698063412391e-42
100,1000,1792,10,10,0.36787944117144233,1.4532185881840707e-45
100,1000,1217,10,10,0.36787944117144233,3.129990233812382e-47
100,1000,1270,10,10,0.36787944117144233,1.1243331392915832e-49
100,1000,6467,10,10,0.36787944117144233,3.5313022522639274e-45
100,1000,1545,10,10,0.36787944117144233,7.039858351136329e-43
100,1000,1316,10,10,0.36787944117144233,3.335071083919508e-45
100,1000,1423,10,10,0.36787944117144233,2.2576911885667257e-49
100,1000,1170,10,10,0.36787944117144233,5.889965821756685e-47
100,1000,1282,10,10,0.36787944117144233,7.459137694447699e-50
100,1000,1720,10,10,0.36787944117144233,4.909970856821036e-47
100,1000,1154,10,10,0.36787944117144233,9.632072632711348e-49
100,1000,6182,10,10,0.36787944117144233,1.5834083556745489e-43
100,1000,1161,10,10,0.36787944117144233,7.178033174428708e-50
100,1000,1138,10,10,0.36787944117144233,1.117555255820888e-49
100,2000,5760,10,10,0.36787944117144233,1.3303595887987857e-42
100,2000,2339,10,10,0.36787944117144233,1.404417920208331e-41
100,2000,2238,10,10,0.36787944117144233,3.523575137309577e-44
100,2000,2122,10,10,0.36787944117144233,1.5709553668068156e-41
100,2000,2056,10,10,0.36787944117144233,5.125592940671036e-43
100,2000,2117,10,10,0.36787944117144233,1.432710266267364e-47
100,2000,2114,10,10,0.36787944117144233,2.041712334912082e-47
100,2000,3229,10,10,0.36787944117144233,9.792417713768634e-45
100,2000,2390,10,10,0.36787944117144233,1.717639544887559e-45
