max_level,L_per_level,levels_finished,lam,beta,quantile,evidence
300,100000,323085,10,10,0.05,5.967845139267052e-44
300,100000,328521,10,10,0.05,3.732306084149633e-43
300,100000,327259,10,10,0.05,1.4185184609673713e-44
300,100000,324302,10,10,0.05,6.338623234297124e-43
300,100000,322024,10,10,0.05,1.1213842582298568e-43
300,100000,327154,10,10,0.05,3.3291582680468646e-43
300,100000,337418,10,10,0.05,4.314882986276363e-42
300,100000,317625,10,10,0.05,3.0440185399714434e-43
300,100000,339914,10,10,0.05,1.618964270342411e-44
300,100000,324712,10,10,0.05,1.7639887210994983e-43
300,100000,323829,10,10,0.05,6.533158980276943e-44
300,100000,322090,10,10,0.05,4.129852495511462e-43
300,100000,330716,10,10,0.05,2.191987957574795e-43
300,100000,325619,10,10,0.05,1.2642324309355157e-43
300,100000,333510,10,10,0.05,8.392250043296604e-43
300,100000,330207,10,10,0.05,7.655207580645902e-44
300,100000,306842,10,10,0.1,2.285224250792456e-42
300,100000,307926,10,10,0.1,7.601483184492523e-43
300,100000,306572,10,10,0.1,1.5993507465179193e-40
300,100000,306652,10,10,0.1,3.749196155729612e-42
300,100000,306087,10,10,0.1,2.0027828780066112e-42
300,100000,306070,10,10,0.1,2.125935809398422e-43
300,100000,305480,10,10,0.1,2.7742709533519924e-43
300,100000,306368,10,10,0.1,1.2803974227459805e-40
300,100000,307214,10,10,0.1,2.45543929781008e-44
300,100000,305998,10,10,0.1,1.4291627005545998e-43
300,100000,307113,10,10,0.1,1.6305018853955162e-41
300,100000,306396,10,10,0.1,1.3645951892434686e-43
300,100000,306128,10,10,0.1,7.1438696414028325e-43
300,100000,307668,10,10,0.1,2.684225651080317e-43
300,100000,306770,10,10,0.1,3.8438837799036354e-42
300,100000,306094,10,10,0.1,1.0443189832339894e-42
300,100000,301790,10,10,0.2,4.679904898283937e-42
300,100000,302230,10,10,0.2,5.285641481785502e-41
300,100000,301679,10,10,0.2,3.7590100993465194e-42
300,100000,301796,10,10,0.2,8.607440360439721e-39
300,100000,301608,10,10,0.2,2.2005210712792194e-42
300,100000,302123,10,10,0.2,3.136179544910357e-42
300,100000,301907,10,10,0.2,2.670332822633007e-42
300,100000,301974,10,10,0.2,4.718318681599976e-41
300,100000,301764,10,10,0.2,3.339454406822608e-42
300,100000,302050,10,10,0.2,9.260360506557533e-43
300,100000,302043,10,10,0.2,5.061822526881961e-41
300,100000,301974,10,10,0.2,1.7299822262346792e-42
300,100000,301743,10,10,0.2,3.026885904598477e-42
300,100000,301819,10,10,0.2,9.736932978193804e-43
300,100000,302269,10,10,0.2,2.0469248301124764e-42
300,100000,301973,10,10,0.2,1.5869551401081673e-42
300,100000,300409,10,10,0.36787944117144233,8.930024642332268e-40
300,100000,300460,10,10,0.36787944117144233,4.084627253712597e-38
300,100000,300444,10,10,0.36787944117144233,1.0903417325492457e-38
300,100000,300406,10,10,0.36787944117144233,8.014792626594184e-39
300,100000,300433,10,10,0.36787944117144233,6.695088691218189e-38
300,100000,300469,10,10,0.36787944117144233,2.6916909599453225e-40
300,100000,300386,10,10,0.36787944117144233,2.5222962008205308e-39
300,100000,300349,10,10,0.36787944117144233,8.203496304963076e-39
300,100000,300480,10,10,0.36787944117144233,4.9938888749141016e-40
300,100000,300422,10,10,0.36787944117144233,4.995482633017924e-41
300,100000,300463,10,10,0.36787944117144233,8.940833989472814e-41
300,100000,300411,10,10,0.36787944117144233,1.7228241298638824e-38
300,100000,300441,10,10,0.36787944117144233,9.131926194385714e-40
300,100000,300446,10,10,0.36787944117144233,3.4136164659878028e-40
300,100000,300423,10,10,0.36787944117144233,5.574876603110762e-41
300,100000,300408,10,10,0.36787944117144233,1.744504905762437e-41
300,100000,300281,10,10,0.4,1.8646028272553355e-41
300,100000,300344,10,10,0.4,1.0661318889223508e-38
300,100000,300281,10,10,0.4,5.177806406980251e-38
