max_level,L_per_level,levels_finished,lam,beta,quantile,evidence
100,100000,108639,10,10,0.05,5.086681159656844e-44
100,100000,109050,10,10,0.05,3.1051063434007797e-43
100,100000,107200,10,10,0.05,1.3327760678006792e-44
100,100000,108154,10,10,0.05,5.535683708452861e-43
100,100000,107264,10,10,0.05,1.0381296709451349e-43
100,100000,108127,10,10,0.05,2.8364070420505835e-43
100,100000,117338,10,10,0.05,4.0394399663292987e-42
100,100000,106540,10,10,0.05,2.927330161033534e-43
100,100000,106622,10,10,0.05,1.4515322212082564e-44
100,100000,107003,10,10,0.05,1.6165162861786805e-43
100,100000,107114,10,10,0.05,5.691504143303976e-44
100,100000,108137,10,10,0.05,3.468680533592992e-43
100,100000,111755,10,10,0.05,2.2990064759595482e-43
100,100000,110666,10,10,0.05,1.1031682061943305e-43
100,100000,111223,10,10,0.05,7.482610500399572e-43
100,100000,109046,10,10,0.05,6.843735261512417e-44
100,100000,102762,10,10,0.1,1.5408730223026666e-42
100,100000,102271,10,10,0.1,5.24937301987881e-43
100,100000,102781,10,10,0.1,1.1724452783748056e-40
100,100000,102804,10,10,0.1,2.8047961945908464e-42
100,100000,101680,10,10,0.1,9.827598681854368e-43
100,100000,101973,10,10,0.1,1.4693275480986532e-43
100,100000,101770,10,10,0.1,1.941117042466529e-43
100,100000,102329,10,10,0.1,8.614832597093435e-41
100,100000,102183,10,10,0.1,1.746207673504209e-44
100,100000,101766,10,10,0.1,1.1218511199249325e-43
100,100000,102745,10,10,0.1,8.383467403220758e-42
100,100000,102163,10,10,0.1,1.1108690199975173e-43
100,100000,102301,10,10,0.1,5.135744339567139e-43
100,100000,102314,10,10,0.1,1.874378696268768e-43
100,100000,102207,10,10,0.1,2.4748677335251582e-42
100,100000,102580,10,10,0.1,5.9863340210706135e-43
100,100000,100467,10,10,0.2,8.056830238203405e-43
100,100000,100698,10,10,0.2,3.6066213027048084e-42
100,100000,100564,10,10,0.2,5.337192189810932e-43
100,100000,100533,10,10,0.2,3.04908006266441e-42
100,100000,100505,10,10,0.2,3.9230602262385505e-43
100,100000,100755,10,10,0.2,1.1391103432399453e-42
100,100000,100569,10,10,0.2,6.9572398750771855e-43
100,100000,100540,10,10,0.2,1.0661012341819346e-41
100,100000,100690,10,10,0.2,9.509476838367326e-43
100,100000,100538,10,10,0.2,1.671446368422267e-43
100,100000,100626,10,10,0.2,6.563422713407787e-42
100,100000,100775,10,10,0.2,4.4848635381527004e-43
100,100000,100598,10,10,0.2,3.507562660533085e-43
100,100000,100490,10,10,0.2,2.3738600215356716e-43
100,100000,100748,10,10,0.2,3.737559255262276e-43
100,100000,100616,10,10,0.2,3.362060212616027e-43
100,100000,100096,10,10,0.36787944117144233,1.0911055401789774e-41
100,100000,100133,10,10,0.36787944117144233,1.841037320145384e-41
100,100000,100143,10,10,0.36787944117144233,4.7975707861825374e-42
100,100000,100143,10,10,0.36787944117144233,3.6073429451950206e-42
100,100000,100161,10,10,0.36787944117144233,3.138026170741876e-41
100,100000,100152,10,10,0.36787944117144233,1.0259043854907225e-41
100,100000,100148,10,10,0.36787944117144233,1.1462855214173035e-42
100,100000,100131,10,10,0.36787944117144233,3.647555399309981e-42
100,100000,100154,10,10,0.36787944117144233,9.959663482705584e-42
100,100000,100111,10,10,0.36787944117144233,2.8098311099152702e-42
100,100000,100125,10,10,0.36787944117144233,5.0724991411772124e-42
100,100000,100151,10,10,0.36787944117144233,7.708848306178309e-42
100,100000,100122,10,10,0.36787944117144233,2.988185999585647e-41
100,100000,100184,10,10,0.36787944117144233,3.3136721669454006e-41
100,100000,100142,10,10,0.36787944117144233,3.113809380636884e-42
100,100000,100159,10,10,0.36787944117144233,2.719630879081617e-42
100,100000,100101,10,10,0.4,1.9920955914656073e-42
100,100000,100096,10,10,0.4,5.6892520362785663e-42
100,100000,100097,10,10,0.4,2.354593894900791e-41
100,100000,100119,10,10,0.4,1.813339876751246e-41
100,100000,100095,10,10,0.4,7.044603090198669e-42
100,100000,100088,10,10,0.4,2.668637488753792e-41
100,100000,100095,10,10,0.4,2.4331700434838818e-42
100,100000,100103,10,10,0.4,1.4614802241490632e-41
100,100000,100091,10,10,0.4,3.618585731326984e-42
100,100000,100111,10,10,0.4,2.5087252850966004e-42
100,100000,100112,10,10,0.4,2.6203096956892265e-41
100,100000,100096,10,10,0.4,2.747123848803024e-42
100,100000,100126,10,10,0.4,6.432595102964809e-42
100,100000,100099,10,10,0.4,3.065717158469082e-42
100,100000,100095,10,10,0.4,1.0032675214582308e-41
100,100000,100111,10,10,0.4,1.77084003907927e-42
100,100000,100069,10,10,0.5,3.3725155418769196e-42
100,100000,100061,10,10,0.5,1.7528702801278492e-41
100,100000,100062,10,10,0.5,1.883926504223962e-41
100,100000,100055,10,10,0.5,4.920390477296021e-42
100,100000,100071,10,10,0.5,3.4106968212947463e-41
100,100000,100051,10,10,0.5,7.422591154335367e-41
100,100000,100052,10,10,0.5,1.1203170528216642e-41
100,100000,100067,10,10,0.5,7.550963118184283e-41
100,100000,100042,10,10,0.5,3.347071035747689e-41
100,100000,100074,10,10,0.5,1.802548028808209e-40
100,100000,100063,10,10,0.5,1.0105957664098578e-41
100,100000,100047,10,10,0.5,2.6540605430483833e-41
100,100000,100058,10,10,0.5,2.120669800057983e-41
100,100000,100051,10,10,0.5,2.8632155406707433e-42
100,100000,100057,10,10,0.5,1.1201860662884802e-41
100,100000,100048,10,10,0.5,1.6504307545822683e-41
100,100000,100043,10,10,0.6,3.599755752788154e-43
100,100000,100050,10,10,0.6,3.545651756747239e-43
100,100000,100040,10,10,0.6,4.609385226668019e-43
100,100000,100060,10,10,0.6,4.2522656577058314e-43
100,100000,100042,10,10,0.6,1.0867144267854277e-42
100,100000,100054,10,10,0.6,1.5924115244889728e-43
100,100000,100047,10,10,0.6,8.557452719758139e-44
100,100000,100057,10,10,0.6,1.533324685086979e-42
