iteration,level,prior mass,likelihood,evidence
0,0,0.0002266274272016977,0.0,0.0
1,0,0.0001949684600314089,4.386641956168813e-196,0.0
2,0,0.0001949684600314089,5.168475355350281e-196,8.552568269034005e-200
3,0,0.0001949684600314089,1.3511080535516668e-195,1.8629465076463336e-199
4,0,0.0001949684600314089,1.5899635352468377e-195,4.497181073016362e-199
5,0,0.0001949684600314089,2.81524741764268e-195,7.597108492748069e-199
6,0,0.0001949684600314089,5.601846996694594e-195,1.308595302900001e-198
7,0,0.0001949684600314089,7.032840009116368e-195,2.4007787851771186e-198
8,0,0.0001949684600314089,1.8241565256599688e-194,3.7719607714018166e-198
9,0,0.0001949684600314089,1.9063282221420533e-194,7.32849065804351e-198
10,0,0.0001949684600314089,2.2974685641890616e-194,1.1045229435898008e-197
11,0,0.0001949684600314089,8.116581468412194e-194,1.5524568515203143e-197
12,0,0.0001949684600314089,8.386328292758096e-194,3.134934241136111e-197
13,0,0.0001949684600314089,1.2899601003149611e-193,4.770003753692991e-197
14,0,0.0001949684600314089,1.3128833390481038e-193,7.285019096296688e-197
15,0,0.0001949684600314089,2.1458894102639495e-193,9.844727524447716e-197
16,0,0.0001949684600314089,3.3213015137058164e-193,1.402853506161642e-196
17,0,0.0001949684600314089,1.736527189370655e-192,2.0504025475888522e-196
18,0,0.0001949684600314089,2.114352218726909e-192,5.436082866731526e-196
19,0,0.0001949684600314089,1.4218962903591775e-191,9.558402827223307e-196
20,0,0.0001949684600314089,8.016967745142193e-191,3.728089583279349e-195
21,1,0.0001949684600314089,8.771921481891114e-191,1.9358648137197848e-194
22,1,0.0001949684600314089,1.0428449385327098e-189,3.646112836560529e-194
23,1,0.0001949684600314089,2.514157742028099e-189,2.3978300008287697e-193
24,1,0.0001949684600314089,3.2702141049114288e-189,7.299644633221396e-193
25,1,0.0001949684600314089,6.335882482918062e-189,1.367553071329713e-192
26,1,0.0001949684600314089,5.2409655677085986e-188,2.602850321964227e-192
27,1,0.0001949684600314089,6.851832272381578e-188,1.2821080180102068e-191
28,1,0.0001949684600314089,1.138401260366482e-187,2.617999204549952e-191
29,1,0.0001949684600314089,2.3324914415124713e-187,4.837522610864632e-191
30,1,0.0001949684600314089,9.714355180905567e-187,9.385145254745907e-191
31,1,0.0001949684600314089,2.4045663381447746e-186,2.8325073952938876e-190
32,1,0.0001949684600314089,2.7706629992868464e-186,7.520653355208395e-190
33,1,0.0001949684600314089,1.9294334968567414e-185,1.2922572337578004e-189
34,1,0.0001949684600314089,2.0377689036832966e-185,5.054044009909551e-189
35,1,0.00012438108510218944,4.8921035377868e-184,9.027050660419798e-189
36,1,0.00012438108510218944,7.740891021479375e-184,6.987556530663799e-188
37,1,0.00012438108510218944,1.0391029060015371e-183,1.6615760779757802e-187
38,1,0.00012438108510218944,1.061861412904606e-183,2.9540235477888756e-187
39,1,0.00012438108510218944,1.8028585970478562e-183,4.274778295441065e-187
40,1,0.00012438108510218944,3.5890634271468465e-183,6.517193381307298e-187
41,2,0.00012438108510218944,4.126135611926857e-183,1.0981309416998373e-186
42,2,0.00012438108510218944,6.765112987232683e-183,1.6113441663900862e-186
43,2,0.00012438108510218944,9.8065922876788e-183,2.4527962605810015e-186
44,2,0.00012438108510218944,1.248664675364261e-182,3.672550850477253e-186
45,2,0.00012438108510218944,3.8418506902789136e-182,5.225653522983052e-186
46,2,0.00012438108510218944,4.7550262326505466e-182,1.000418909955792e-185
47,2,0.00012438108510218944,5.044371419162907e-182,1.5918542324622427e-185
48,2,0.00012438108510218944,1.3927424431097698e-181,2.2192786232361963e-185
49,2,0.00012438108510218944,1.4640254859610877e-181,3.9515867866548713e-185
50,2,0.00012438108510218944,1.5912940105012872e-181,5.7725575722658745e-185
51,2,0.00012438108510218944,1.6918348048304351e-181,7.751826329693524e-185
52,2,0.00012438108510218944,2.983590220845758e-181,9.856148818078129e-185
53,2,0.00012438108510218944,3.1843606832139013e-181,1.3567170709768894e-184
54,2,0.00012438108510218944,3.2789189153896487e-181,1.752791308111784e-184
55,2,0.00012438108510218944,1.2732701626525228e-180,2.1606268007700425e-184
56,2,0.00012438108510218944,1.2953643950288692e-180,3.744334045359663e-184
57,2,0.00012438108510218944,1.7538338195673797e-180,5.355522335923982e-184
58,2,0.00012438108510218944,2.2637661684449408e-180,7.536959871591064e-184
59,2,0.00012438108510218944,3.7942765998991238e-180,1.0352656796079139e-183
60,2,0.00012438108510218944,4.290454978613429e-180,1.5072019202812128e-183
61,2,0.00012438108510218944,4.780578463164406e-180,2.040853366103242e-183
62,1,0.00012438108510218944,5.266048413984279e-180,2.6354669027677878e-183
63,2,0.00012438108510218944,1.6077160671178878e-179,3.2904637186998163e-183
64,3,0.00012438108510218944,2.4397439033380718e-179,5.290158408343289e-183
65,3,0.00012438108510218944,1.2083993260607456e-178,8.324738349029695e-183
66,3,0.00012438108510218944,1.7053944864672524e-178,2.3354940290248692e-182
67,3,0.00012438108510218944,2.1426669870988754e-178,4.4566821965657486e-182
68,3,0.00012438108510218944,2.61852251987654e-178,7.12175464524572e-182
69,3,0.00012438108510218944,3.238473017555656e-178,1.0378701369113354e-181
70,3,5.225727094706952e-05,1.3414441418683922e-177,1.4406749249090698e-181
71,3,5.225727094706952e-05,1.6992481731123114e-177,2.1416770247288272e-181
72,3,5.225727094706952e-05,2.503566741815498e-177,3.0296577466152565e-181
73,3,5.225727094706952e-05,4.02566943800098e-177,4.3379534022265017e-181
74,3,5.225727094706952e-05,4.382164837744525e-177,6.441658387876045e-181
75,3,5.225727094706952e-05,5.552748904005162e-177,8.731658140483411e-181
76,3,5.225727094706952e-05,1.852337826153e-176,1.1633373180259822e-180
77,3,5.225727094706952e-05,2.1674631818184437e-176,2.131318514693813e-180
78,3,5.225727094706952e-05,3.3794007559672334e-176,3.263975622294651e-180
79,3,5.225727094706952e-05,3.5088297914677444e-176,5.029958231727764e-180
80,3,5.225727094706952e-05,5.524617953445394e-176,6.863576922926557e-180
81,3,5.225727094706952e-05,6.015625265101627e-176,9.750591495648964e-180
82,3,5.225727094706952e-05,7.511480151049291e-176,1.289419308959349e-179
83,3,5.225727094706952e-05,7.573400131616111e-176,1.6819487624262666e-179
84,4,5.225727094706952e-05,1.2407808099994612e-175,2.0777139850947018e-179
85,4,5.225727094706952e-05,1.989827979643037e-175,2.726112174835364e-179
86,4,5.225727094706952e-05,2.168943536382638e-175,3.765941973538025e-179
87,4,5.225727094706952e-05,3.602591368643399e-175,4.899372674034452e-179
88,4,5.225727094706952e-05,4.3517512864642426e-175,6.781988606662173e-179
