iteration,level,prior mass,likelihood,evidence
0,0,0.33599160822520957,0.0,0.0
1,0,0.21958098946136245,5.538122158352868e-195,0.0
2,0,0.21958098946136245,4.6501366727898184e-194,1.216066343289019e-195
3,0,0.21958098946136245,5.572587770351425e-194,1.142688246070658e-194
4,0,0.21958098946136245,3.1406949151544614e-193,2.3663225825447117e-194
5,0,0.21958098946136245,3.311850832166907e-193,9.262691553203576e-194
6,0,0.21958098946136245,3.9098092309434306e-193,1.6534886379960036e-193
7,0,0.21958098946136245,4.970934565152606e-193,2.5120084175317307e-193
8,0,0.21958098946136245,8.688556555508518e-193,3.603531147895627e-193
9,0,0.21958098946136245,9.948968083438847e-193,5.511372993345194e-193
10,0,0.21958098946136245,4.186526681267109e-192,7.695977249226211e-193
11,0,0.21958098946136245,2.394756931431035e-191,1.6888793960016468e-192
12,0,0.21958098946136245,2.995070483135269e-191,6.9473103612324745e-192
13,0,0.21958098946136245,8.629492558648478e-191,1.3523915763166106e-191
14,0,0.21958098946136245,1.2031492561548447e-189,3.2472640908941074e-191
15,0,0.10300187995216656,3.448422336710402e-189,2.966613450451241e-190
16,0,0.10300187995216656,8.18069443414239e-189,6.518553285953386e-190
17,0,0.10300187995216656,1.0721130848395558e-187,1.4944822346262303e-189
18,0,0.10300187995216656,1.1402564561011627e-187,1.2537448560605318e-188
19,0,0.10300187995216656,1.253720965004463e-187,2.4282304421206802e-188
20,0,0.10300187995216656,1.3975785615458e-187,3.7195866054297213e-188
21,0,0.10300187995216656,8.943739210640218e-186,5.1591187976303423e-188
22,1,0.10300187995216656,6.160129893002339e-185,9.728131404741522e-187
23,1,0.10300187995216656,7.681581448473961e-185,7.317862737761947e-186
24,1,0.10300187995216656,8.593641564132719e-184,1.5230036039746992e-185
25,1,0.10300187995216656,2.242422274065367e-183,1.037461597138217e-184
26,1,0.10300187995216656,1.3480244424307802e-182,3.3471986958916696e-184
27,1,0.10300187995216656,2.4425956170313842e-182,1.7232103875075818e-183
28,1,0.10300187995216656,3.0060995857727807e-182,4.23912979267913e-183
29,1,0.10300187995216656,7.148393638692442e-182,7.3354688792593855e-183
30,1,0.10300187995216656,1.843902279572523e-181,1.4698448713493684e-182
31,1,0.10300187995216656,1.8804319611453303e-181,3.369098883789921e-182
32,1,0.10300187995216656,3.3465415494143087e-181,5.305979154991006e-182
33,1,0.0431861473037953,4.6371016090768817e-181,8.752979864268106e-182
34,1,0.0431861473037953,4.997167169362391e-181,1.075556539579071e-181
35,1,0.0431861473037953,9.879727641546135e-181,1.291364937056845e-181
36,1,0.0431861473037953,4.446659679320363e-180,1.7180323103060346e-181
37,1,0.0431861473037953,9.932088213353427e-180,3.638373309515798e-181
